Name,mode,therapy_on,p_min,at_x_off,at_x_on
SOC,SOC,False,1.4e-07,0.0,0.0
AT-1.00-0.50,AT,False,1.4e-07,1000.0,2000.0
AT-1.00-0.75,AT,False,1.4e-07,1500.0,2000.0
AT-1.50-0.50,AT,False,1.4e-07,1000.0,3000.0
AT-1.50-0.75,AT,False,1.4e-07,1500.0,3000.0
AT-1.50-1.00,AT,False,1.4e-07,2000.0,3000.0
AT-1.50-1.25,AT,False,1.4e-07,2500.0,3000.0
AT-2.00-0.50,AT,False,1.4e-07,1000.0,4000.0
AT-2.00-0.75,AT,False,1.4e-07,1500.0,4000.0
AT-2.00-1.00,AT,False,1.4e-07,2000.0,4000.0
AT-2.00-1.25,AT,False,1.4e-07,2500.0,4000.0
AT-2.00-1.50,AT,False,1.4e-07,3000.0,4000.0
AT-2.00-1.75,AT,False,1.4e-07,3500.0,4000.0
AT-2.50-0.50,AT,False,1.4e-07,1000.0,5000.0
AT-2.50-0.75,AT,False,1.4e-07,1500.0,5000.0
AT-2.50-1.00,AT,False,1.4e-07,2000.0,5000.0
AT-2.50-1.25,AT,False,1.4e-07,2500.0,5000.0
AT-2.50-1.50,AT,False,1.4e-07,3000.0,5000.0
AT-2.50-1.75,AT,False,1.4e-07,3500.0,5000.0
AT-2.50-2.00,AT,False,1.4e-07,4000.0,5000.0
AT-2.50-2.25,AT,False,1.4e-07,4500.0,5000.0
AT-3.00-0.50,AT,False,1.4e-07,1000.0,6000.0
AT-3.00-0.75,AT,False,1.4e-07,1500.0,6000.0
AT-3.00-1.00,AT,False,1.4e-07,2000.0,6000.0
AT-3.00-1.25,AT,False,1.4e-07,2500.0,6000.0
AT-3.00-1.50,AT,False,1.4e-07,3000.0,6000.0
AT-3.00-1.75,AT,False,1.4e-07,3500.0,6000.0
AT-3.00-2.00,AT,False,1.4e-07,4000.0,6000.0
AT-3.00-2.25,AT,False,1.4e-07,4500.0,6000.0
AT-3.00-2.50,AT,False,1.4e-07,5000.0,6000.0
AT-3.00-2.75,AT,False,1.4e-07,5500.0,6000.0
AT-3.50-0.50,AT,False,1.4e-07,1000.0,7000.0
AT-3.50-0.75,AT,False,1.4e-07,1500.0,7000.0
AT-3.50-1.00,AT,False,1.4e-07,2000.0,7000.0
AT-3.50-1.25,AT,False,1.4e-07,2500.0,7000.0
AT-3.50-1.50,AT,False,1.4e-07,3000.0,7000.0
AT-3.50-1.75,AT,False,1.4e-07,3500.0,7000.0
AT-3.50-2.00,AT,False,1.4e-07,4000.0,7000.0
AT-3.50-2.25,AT,False,1.4e-07,4500.0,7000.0
AT-3.50-2.50,AT,False,1.4e-07,5000.0,7000.0
AT-3.50-2.75,AT,False,1.4e-07,5500.0,7000.0
AT-3.50-3.00,AT,False,1.4e-07,6000.0,7000.0
AT-3.50-3.25,AT,False,1.4e-07,6500.0,7000.0
AT-4.00-0.50,AT,False,1.4e-07,1000.0,8000.0
AT-4.00-0.75,AT,False,1.4e-07,1500.0,8000.0
AT-4.00-1.00,AT,False,1.4e-07,2000.0,8000.0
AT-4.00-1.25,AT,False,1.4e-07,2500.0,8000.0
AT-4.00-1.50,AT,False,1.4e-07,3000.0,8000.0
AT-4.00-1.75,AT,False,1.4e-07,3500.0,8000.0
AT-4.00-2.00,AT,False,1.4e-07,4000.0,8000.0
AT-4.00-2.25,AT,False,1.4e-07,4500.0,8000.0
AT-4.00-2.50,AT,False,1.4e-07,5000.0,8000.0
AT-4.00-2.75,AT,False,1.4e-07,5500.0,8000.0
AT-4.00-3.00,AT,False,1.4e-07,6000.0,8000.0
AT-4.00-3.25,AT,False,1.4e-07,6500.0,8000.0
AT-4.00-3.50,AT,False,1.4e-07,7000.0,8000.0
AT-4.00-3.75,AT,False,1.4e-07,7500.0,8000.0
AT-4.50-0.50,AT,False,1.4e-07,1000.0,9000.0
AT-4.50-0.75,AT,False,1.4e-07,1500.0,9000.0
AT-4.50-1.00,AT,False,1.4e-07,2000.0,9000.0
AT-4.50-1.25,AT,False,1.4e-07,2500.0,9000.0
AT-4.50-1.50,AT,False,1.4e-07,3000.0,9000.0
AT-4.50-1.75,AT,False,1.4e-07,3500.0,9000.0
AT-4.50-2.00,AT,False,1.4e-07,4000.0,9000.0
AT-4.50-2.25,AT,False,1.4e-07,4500.0,9000.0
AT-4.50-2.50,AT,False,1.4e-07,5000.0,9000.0
AT-4.50-2.75,AT,False,1.4e-07,5500.0,9000.0
AT-4.50-3.00,AT,False,1.4e-07,6000.0,9000.0
AT-4.50-3.25,AT,False,1.4e-07,6500.0,9000.0
AT-4.50-3.50,AT,False,1.4e-07,7000.0,9000.0
AT-4.50-3.75,AT,False,1.4e-07,7500.0,9000.0
AT-4.50-4.00,AT,False,1.4e-07,8000.0,9000.0
AT-4.50-4.25,AT,False,1.4e-07,8500.0,9000.0
SOC,SOC,False,1e-07,0.0,0.0
AT-1.00-0.50,AT,False,1e-07,1000.0,2000.0
AT-1.00-0.75,AT,False,1e-07,1500.0,2000.0
AT-1.50-0.50,AT,False,1e-07,1000.0,3000.0
AT-1.50-0.75,AT,False,1e-07,1500.0,3000.0
AT-1.50-1.00,AT,False,1e-07,2000.0,3000.0
AT-1.50-1.25,AT,False,1e-07,2500.0,3000.0
AT-2.00-0.50,AT,False,1e-07,1000.0,4000.0
AT-2.00-0.75,AT,False,1e-07,1500.0,4000.0
AT-2.00-1.00,AT,False,1e-07,2000.0,4000.0
AT-2.00-1.25,AT,False,1e-07,2500.0,4000.0
AT-2.00-1.50,AT,False,1e-07,3000.0,4000.0
AT-2.00-1.75,AT,False,1e-07,3500.0,4000.0
AT-2.50-0.50,AT,False,1e-07,1000.0,5000.0
AT-2.50-0.75,AT,False,1e-07,1500.0,5000.0
AT-2.50-1.00,AT,False,1e-07,2000.0,5000.0
AT-2.50-1.25,AT,False,1e-07,2500.0,5000.0
AT-2.50-1.50,AT,False,1e-07,3000.0,5000.0
AT-2.50-1.75,AT,False,1e-07,3500.0,5000.0
AT-2.50-2.00,AT,False,1e-07,4000.0,5000.0
AT-2.50-2.25,AT,False,1e-07,4500.0,5000.0
AT-3.00-0.50,AT,False,1e-07,1000.0,6000.0
AT-3.00-0.75,AT,False,1e-07,1500.0,6000.0
AT-3.00-1.00,AT,False,1e-07,2000.0,6000.0
AT-3.00-1.25,AT,False,1e-07,2500.0,6000.0
AT-3.00-1.50,AT,False,1e-07,3000.0,6000.0
AT-3.00-1.75,AT,False,1e-07,3500.0,6000.0
AT-3.00-2.00,AT,False,1e-07,4000.0,6000.0
AT-3.00-2.25,AT,False,1e-07,4500.0,6000.0
AT-3.00-2.50,AT,False,1e-07,5000.0,6000.0
AT-3.00-2.75,AT,False,1e-07,5500.0,6000.0
AT-3.50-0.50,AT,False,1e-07,1000.0,7000.0
AT-3.50-0.75,AT,False,1e-07,1500.0,7000.0
AT-3.50-1.00,AT,False,1e-07,2000.0,7000.0
AT-3.50-1.25,AT,False,1e-07,2500.0,7000.0
AT-3.50-1.50,AT,False,1e-07,3000.0,7000.0
AT-3.50-1.75,AT,False,1e-07,3500.0,7000.0
AT-3.50-2.00,AT,False,1e-07,4000.0,7000.0
AT-3.50-2.25,AT,False,1e-07,4500.0,7000.0
AT-3.50-2.50,AT,False,1e-07,5000.0,7000.0
AT-3.50-2.75,AT,False,1e-07,5500.0,7000.0
AT-3.50-3.00,AT,False,1e-07,6000.0,7000.0
AT-3.50-3.25,AT,False,1e-07,6500.0,7000.0
AT-4.00-0.50,AT,False,1e-07,1000.0,8000.0
AT-4.00-0.75,AT,False,1e-07,1500.0,8000.0
AT-4.00-1.00,AT,False,1e-07,2000.0,8000.0
AT-4.00-1.25,AT,False,1e-07,2500.0,8000.0
AT-4.00-1.50,AT,False,1e-07,3000.0,8000.0
AT-4.00-1.75,AT,False,1e-07,3500.0,8000.0
AT-4.00-2.00,AT,False,1e-07,4000.0,8000.0
AT-4.00-2.25,AT,False,1e-07,4500.0,8000.0
AT-4.00-2.50,AT,False,1e-07,5000.0,8000.0
AT-4.00-2.75,AT,False,1e-07,5500.0,8000.0
AT-4.00-3.00,AT,False,1e-07,6000.0,8000.0
AT-4.00-3.25,AT,False,1e-07,6500.0,8000.0
AT-4.00-3.50,AT,False,1e-07,7000.0,8000.0
AT-4.00-3.75,AT,False,1e-07,7500.0,8000.0
AT-4.50-0.50,AT,False,1e-07,1000.0,9000.0
AT-4.50-0.75,AT,False,1e-07,1500.0,9000.0
AT-4.50-1.00,AT,False,1e-07,2000.0,9000.0
AT-4.50-1.25,AT,False,1e-07,2500.0,9000.0
AT-4.50-1.50,AT,False,1e-07,3000.0,9000.0
AT-4.50-1.75,AT,False,1e-07,3500.0,9000.0
AT-4.50-2.00,AT,False,1e-07,4000.0,9000.0
AT-4.50-2.25,AT,False,1e-07,4500.0,9000.0
AT-4.50-2.50,AT,False,1e-07,5000.0,9000.0
AT-4.50-2.75,AT,False,1e-07,5500.0,9000.0
AT-4.50-3.00,AT,False,1e-07,6000.0,9000.0
AT-4.50-3.25,AT,False,1e-07,6500.0,9000.0
AT-4.50-3.50,AT,False,1e-07,7000.0,9000.0
AT-4.50-3.75,AT,False,1e-07,7500.0,9000.0
AT-4.50-4.00,AT,False,1e-07,8000.0,9000.0
AT-4.50-4.25,AT,False,1e-07,8500.0,9000.0
SOC,SOC,False,1.2e-07,0.0,0.0
AT-1.00-0.50,AT,False,1.2e-07,1000.0,2000.0
AT-1.00-0.75,AT,False,1.2e-07,1500.0,2000.0
AT-1.50-0.50,AT,False,1.2e-07,1000.0,3000.0
AT-1.50-0.75,AT,False,1.2e-07,1500.0,3000.0
AT-1.50-1.00,AT,False,1.2e-07,2000.0,3000.0
AT-1.50-1.25,AT,False,1.2e-07,2500.0,3000.0
AT-2.00-0.50,AT,False,1.2e-07,1000.0,4000.0
AT-2.00-0.75,AT,False,1.2e-07,1500.0,4000.0
AT-2.00-1.00,AT,False,1.2e-07,2000.0,4000.0
AT-2.00-1.25,AT,False,1.2e-07,2500.0,4000.0
AT-2.00-1.50,AT,False,1.2e-07,3000.0,4000.0
AT-2.00-1.75,AT,False,1.2e-07,3500.0,4000.0
AT-2.50-0.50,AT,False,1.2e-07,1000.0,5000.0
AT-2.50-0.75,AT,False,1.2e-07,1500.0,5000.0
AT-2.50-1.00,AT,False,1.2e-07,2000.0,5000.0
AT-2.50-1.25,AT,False,1.2e-07,2500.0,5000.0
AT-2.50-1.50,AT,False,1.2e-07,3000.0,5000.0
AT-2.50-1.75,AT,False,1.2e-07,3500.0,5000.0
AT-2.50-2.00,AT,False,1.2e-07,4000.0,5000.0
AT-2.50-2.25,AT,False,1.2e-07,4500.0,5000.0
AT-3.00-0.50,AT,False,1.2e-07,1000.0,6000.0
AT-3.00-0.75,AT,False,1.2e-07,1500.0,6000.0
AT-3.00-1.00,AT,False,1.2e-07,2000.0,6000.0
AT-3.00-1.25,AT,False,1.2e-07,2500.0,6000.0
AT-3.00-1.50,AT,False,1.2e-07,3000.0,6000.0
AT-3.00-1.75,AT,False,1.2e-07,3500.0,6000.0
AT-3.00-2.00,AT,False,1.2e-07,4000.0,6000.0
AT-3.00-2.25,AT,False,1.2e-07,4500.0,6000.0
AT-3.00-2.50,AT,False,1.2e-07,5000.0,6000.0
AT-3.00-2.75,AT,False,1.2e-07,5500.0,6000.0
AT-3.50-0.50,AT,False,1.2e-07,1000.0,7000.0
AT-3.50-0.75,AT,False,1.2e-07,1500.0,7000.0
AT-3.50-1.00,AT,False,1.2e-07,2000.0,7000.0
AT-3.50-1.25,AT,False,1.2e-07,2500.0,7000.0
AT-3.50-1.50,AT,False,1.2e-07,3000.0,7000.0
AT-3.50-1.75,AT,False,1.2e-07,3500.0,7000.0
AT-3.50-2.00,AT,False,1.2e-07,4000.0,7000.0
AT-3.50-2.25,AT,False,1.2e-07,4500.0,7000.0
AT-3.50-2.50,AT,False,1.2e-07,5000.0,7000.0
AT-3.50-2.75,AT,False,1.2e-07,5500.0,7000.0
AT-3.50-3.00,AT,False,1.2e-07,6000.0,7000.0
AT-3.50-3.25,AT,False,1.2e-07,6500.0,7000.0
AT-4.00-0.50,AT,False,1.2e-07,1000.0,8000.0
AT-4.00-0.75,AT,False,1.2e-07,1500.0,8000.0
AT-4.00-1.00,AT,False,1.2e-07,2000.0,8000.0
AT-4.00-1.25,AT,False,1.2e-07,2500.0,8000.0
AT-4.00-1.50,AT,False,1.2e-07,3000.0,8000.0
AT-4.00-1.75,AT,False,1.2e-07,3500.0,8000.0
AT-4.00-2.00,AT,False,1.2e-07,4000.0,8000.0
AT-4.00-2.25,AT,False,1.2e-07,4500.0,8000.0
AT-4.00-2.50,AT,False,1.2e-07,5000.0,8000.0
AT-4.00-2.75,AT,False,1.2e-07,5500.0,8000.0
AT-4.00-3.00,AT,False,1.2e-07,6000.0,8000.0
AT-4.00-3.25,AT,False,1.2e-07,6500.0,8000.0
AT-4.00-3.50,AT,False,1.2e-07,7000.0,8000.0
AT-4.00-3.75,AT,False,1.2e-07,7500.0,8000.0
AT-4.50-0.50,AT,False,1.2e-07,1000.0,9000.0
AT-4.50-0.75,AT,False,1.2e-07,1500.0,9000.0
AT-4.50-1.00,AT,False,1.2e-07,2000.0,9000.0
AT-4.50-1.25,AT,False,1.2e-07,2500.0,9000.0
AT-4.50-1.50,AT,False,1.2e-07,3000.0,9000.0
AT-4.50-1.75,AT,False,1.2e-07,3500.0,9000.0
AT-4.50-2.00,AT,False,1.2e-07,4000.0,9000.0
AT-4.50-2.25,AT,False,1.2e-07,4500.0,9000.0
AT-4.50-2.50,AT,False,1.2e-07,5000.0,9000.0
AT-4.50-2.75,AT,False,1.2e-07,5500.0,9000.0
AT-4.50-3.00,AT,False,1.2e-07,6000.0,9000.0
AT-4.50-3.25,AT,False,1.2e-07,6500.0,9000.0
AT-4.50-3.50,AT,False,1.2e-07,7000.0,9000.0
AT-4.50-3.75,AT,False,1.2e-07,7500.0,9000.0
AT-4.50-4.00,AT,False,1.2e-07,8000.0,9000.0
AT-4.50-4.25,AT,False,1.2e-07,8500.0,9000.0
