Name,mode,therapy_on,p_min,at_x_off,at_x_on
SOC,SOC,False,1.4e-07,0.0,0.0
AT-1.60-0.50,AT,False,1.4e-07,1000.0,3200.0
AT-1.60-0.60,AT,False,1.4e-07,1200.0,3200.0
AT-1.60-0.70,AT,False,1.4e-07,1400.0,3200.0
AT-1.60-0.80,AT,False,1.4e-07,1599.9999999999998,3200.0
AT-1.60-0.90,AT,False,1.4e-07,1799.9999999999998,3200.0
AT-1.60-1.00,AT,False,1.4e-07,1999.9999999999998,3200.0
AT-1.60-1.10,AT,False,1.4e-07,2199.9999999999995,3200.0
AT-1.60-1.20,AT,False,1.4e-07,2399.9999999999995,3200.0
AT-1.60-1.30,AT,False,1.4e-07,2599.9999999999995,3200.0
AT-1.60-1.40,AT,False,1.4e-07,2800.0,3200.0
AT-1.60-1.50,AT,False,1.4e-07,2999.9999999999995,3200.0
AT-1.70-0.50,AT,False,1.4e-07,1000.0,3400.0000000000005
AT-1.70-0.60,AT,False,1.4e-07,1200.0,3400.0000000000005
AT-1.70-0.70,AT,False,1.4e-07,1400.0,3400.0000000000005
AT-1.70-0.80,AT,False,1.4e-07,1599.9999999999998,3400.0000000000005
AT-1.70-0.90,AT,False,1.4e-07,1799.9999999999998,3400.0000000000005
AT-1.70-1.00,AT,False,1.4e-07,1999.9999999999998,3400.0000000000005
AT-1.70-1.10,AT,False,1.4e-07,2199.9999999999995,3400.0000000000005
AT-1.70-1.20,AT,False,1.4e-07,2399.9999999999995,3400.0000000000005
AT-1.70-1.30,AT,False,1.4e-07,2599.9999999999995,3400.0000000000005
AT-1.70-1.40,AT,False,1.4e-07,2800.0,3400.0000000000005
AT-1.70-1.50,AT,False,1.4e-07,2999.9999999999995,3400.0000000000005
AT-1.70-1.60,AT,False,1.4e-07,3199.999999999999,3400.0000000000005
AT-1.80-0.50,AT,False,1.4e-07,1000.0,3600.0000000000005
AT-1.80-0.60,AT,False,1.4e-07,1200.0,3600.0000000000005
AT-1.80-0.70,AT,False,1.4e-07,1400.0,3600.0000000000005
AT-1.80-0.80,AT,False,1.4e-07,1599.9999999999998,3600.0000000000005
AT-1.80-0.90,AT,False,1.4e-07,1799.9999999999998,3600.0000000000005
AT-1.80-1.00,AT,False,1.4e-07,1999.9999999999998,3600.0000000000005
AT-1.80-1.10,AT,False,1.4e-07,2199.9999999999995,3600.0000000000005
AT-1.80-1.20,AT,False,1.4e-07,2399.9999999999995,3600.0000000000005
AT-1.80-1.30,AT,False,1.4e-07,2599.9999999999995,3600.0000000000005
AT-1.80-1.40,AT,False,1.4e-07,2800.0,3600.0000000000005
AT-1.80-1.50,AT,False,1.4e-07,2999.9999999999995,3600.0000000000005
AT-1.80-1.60,AT,False,1.4e-07,3199.999999999999,3600.0000000000005
AT-1.80-1.70,AT,False,1.4e-07,3399.9999999999995,3600.0000000000005
AT-1.90-0.50,AT,False,1.4e-07,1000.0,3800.000000000001
AT-1.90-0.60,AT,False,1.4e-07,1200.0,3800.000000000001
AT-1.90-0.70,AT,False,1.4e-07,1400.0,3800.000000000001
AT-1.90-0.80,AT,False,1.4e-07,1599.9999999999998,3800.000000000001
AT-1.90-0.90,AT,False,1.4e-07,1799.9999999999998,3800.000000000001
AT-1.90-1.00,AT,False,1.4e-07,1999.9999999999998,3800.000000000001
AT-1.90-1.10,AT,False,1.4e-07,2199.9999999999995,3800.000000000001
AT-1.90-1.20,AT,False,1.4e-07,2399.9999999999995,3800.000000000001
AT-1.90-1.30,AT,False,1.4e-07,2599.9999999999995,3800.000000000001
AT-1.90-1.40,AT,False,1.4e-07,2800.0,3800.000000000001
AT-1.90-1.50,AT,False,1.4e-07,2999.9999999999995,3800.000000000001
AT-1.90-1.60,AT,False,1.4e-07,3199.999999999999,3800.000000000001
AT-1.90-1.70,AT,False,1.4e-07,3399.9999999999995,3800.000000000001
AT-1.90-1.80,AT,False,1.4e-07,3599.9999999999995,3800.000000000001
