l_lim_o2Tpro,l_lim_o2Tneg,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.0,0.9078941438963051,0.6526199936991615,0.0,5932.933395990295,9054.554718031668
0.0,0.2,0.9097942144252892,0.6684900571968381,0.0,6077.168064879561,8828.298853339707
0.0,0.4,0.9087252930182912,0.6949361078125863,0.0,6317.608303736103,8451.484593356809
0.0,0.6000000000000001,0.9097739795205348,0.7478125005898609,0.0,6798.2800240554125,7697.884571254857
0.0,0.8,0.910064616507169,0.9062305646741148,0.0,8238.435366945694,5440.3416519990205
0.2,0.0,0.9262142808177644,0.5173411566038469,0.0,4703.125164792126,9235.446019395082
0.2,0.2,0.9279488968670808,0.5300372828307414,0.0,4818.509413786182,9054.4275738213
0.2,0.4,0.9276177596375944,0.5511937557306067,0.0,5010.845643129582,8752.941327345736
0.2,0.6000000000000001,0.9276533071021476,0.5934912940268285,0.0,5395.36646804213,8150.148079242653
0.2,0.8,0.9271263827943144,0.7202112374399895,0.0,6547.378094676509,6344.349515314207
0.4,0.0,0.9457025635776409,0.38208427394137023,0.0,3473.4868686724776,9416.241148069015
0.4,0.2,0.9457900793194204,0.3916067776683842,0.0,3560.053236012449,9280.516936958491
0.4,0.4,0.9458109527919494,0.4074740988954261,0.0,3704.3061449661627,9054.3875420874
0.4,0.6000000000000001,0.9447287681836176,0.4391944187050245,0.0,3992.691616181524,8602.416288040162
0.4,0.8,0.9458784244682434,0.5342113816973657,0.0,4856.452985074546,7248.130667834674
0.6000000000000001,0.0,0.9643138713923746,0.24628528609569456,0.0,2238.927554118282,9596.78690401302
0.6000000000000001,0.2,0.964242837587942,0.2526397419134973,0.0,2296.746428945984,9506.578671442916
0.6000000000000001,0.4,0.9643601638504564,0.2632112815305015,0.0,2392.819714148105,9355.398034739008
0.6000000000000001,0.6000000000000001,0.9646175392267048,0.2843736557747306,0.0,2585.180276915119,9054.217053660881
0.6000000000000001,0.8,0.962790912351898,0.34763853917013543,0.0,3160.415288360459,8153.221359786132
0.8,0.0,0.9811475233878536,0.11140828778189568,0.0,1012.8119662364503,9776.89193985759
0.8,0.2,0.98242438038556,0.11456023457955275,0.0,1041.4936277810214,9731.884937984843
0.8,0.4,0.9822874337768992,0.11988740754584495,0.0,1089.8846821499744,9656.04111820043
0.8,0.6000000000000001,0.9810122520289188,0.13045591194153414,0.0,1186.0948705140615,9505.483976938684
0.8,0.8,0.9832939571572944,0.16197062527370198,0.0,1472.3807639793054,9052.66568327913
