l_lim_o2Tpro,l_lim_o2Tneg,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.0,0.9967585215499241,5.43e-322,0.0,0.0,9927.051537397916
0.0,0.2,0.9968329695388796,5.5e-322,0.0,0.0,9919.906726994168
0.0,0.4,0.9969496034918544,3.6e-322,0.0,0.0,9908.699884092186
0.0,0.6000000000000001,0.997158709940664,5.83e-322,0.0,0.0,9888.5911254788
0.0,0.8,0.9976432812264544,3.56e-322,0.0,0.0,9841.985957827868
0.2,0.0,0.99675866452656,4.5e-322,0.0,0.0,9927.051530771645
0.2,0.2,0.9968329696842744,5.53e-322,0.0,0.0,9919.906726985737
0.2,0.4,0.9969496243559292,3.56e-322,0.0,0.0,9908.699882480088
0.2,0.6000000000000001,0.9971585953068344,6.1e-322,0.0,0.0,9888.591138770262
0.2,0.8,0.9976435455123318,5.14e-322,0.0,0.0,9841.985896466773
0.4,0.0,0.996758663726171,6.13e-322,0.0,0.0,9927.051530808729
0.4,0.2,0.9968329708910306,3.26e-322,0.0,0.0,9919.906726915826
0.4,0.4,0.9969495260477684,5.83e-322,0.0,0.0,9908.69989007606
0.4,0.6000000000000001,0.9971587426383124,5.4e-322,0.0,0.0,9888.591121687576
0.4,0.8,0.9976431679650144,4.84e-322,0.0,0.0,9841.98598412452
0.6000000000000001,0.0,0.99675866564959,6.13e-322,0.0,0.0,9927.051530719584
0.6000000000000001,0.2,0.9968329680820279,6.1e-322,0.0,0.0,9919.906727078564
0.6000000000000001,0.4,0.9969493393740178,6e-322,0.0,0.0,9908.699904499746
0.6000000000000001,0.6000000000000001,0.9971587440499255,5.9e-322,0.0,0.0,9888.591121523941
0.6000000000000001,0.8,0.9976433467529704,6.13e-322,0.0,0.0,9841.985942614063
0.8,0.0,0.9967586591328068,6.03e-322,0.0,0.0,9927.051531021603
0.8,0.2,0.9968329680829602,5.93e-322,0.0,0.0,9919.90672707853
0.8,0.4,0.9969496030121472,5.93e-322,0.0,0.0,9908.69988412927
0.8,0.6000000000000001,0.9971587440849868,6.03e-322,0.0,0.0,9888.591121519843
0.8,0.8,0.9976433457464612,3.6e-322,0.0,0.0,9841.985942847792
