l_lim_o2Tneg,u_lim_o2Tneg,l_lim_o2Tpro,u_lim_o2Tpro,l_lim_testTpro,u_lim_testTpro,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq,Tneg_ratio
0.0,0.1,0.0,0.1,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.1,0.0,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.1,0.0,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.1,0.0,0.7,0.0,0.1,0.9512904169322351,0.8362151563355871,0.0,7602.696965128927,2383.249894952269,0.2386603822697381
0.0,0.1,0.0,0.9,0.0,0.1,0.9518387027762232,0.8260783423484993,0.0,7510.559583465379,2474.938080677356,0.24785325317982856
0.0,0.1,0.2,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.1,0.2,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.1,0.2,0.7,0.0,0.1,0.9515628580033832,0.8311783073221274,0.0,7556.915218343426,2428.807898240917,0.243228043666376
0.0,0.1,0.2,0.9,0.0,0.1,0.9524290784023178,0.8151625467000831,0.0,7411.340707567669,2573.678059824893,0.2577539531752899
0.0,0.1,0.4,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.1,0.4,0.7,0.0,0.1,0.952736749132489,0.8094734899444042,0.0,7359.629940879423,2625.141196348813,0.2629145085319953
0.0,0.1,0.4,0.9,0.0,0.1,0.954904158226184,0.7693902333815906,0.0,6995.284683639487,2987.778692808921,0.29928475660662973
0.0,0.1,0.6,0.7,0.0,0.1,0.996422961155674,4.0781294425518355e-33,0.0,-1.154315973994047e-56,9959.330658108242,1.0
0.0,0.1,0.6,0.9,0.0,0.1,0.9964229611556984,-1.8519088889875479e-31,0.0,8.444696867654032e-57,9959.33065810592,1.0
0.0,0.1,0.8,0.9,0.0,0.1,0.9964229611556962,-3.338878782654623e-27,0.0,-1.4410327825243921e-46,9959.33065810614,1.0
0.0,0.3,0.0,0.1,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.3,0.0,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.3,0.0,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.3,0.0,0.7,0.0,0.1,0.9512904169322351,0.8362151563355871,0.0,7602.696965128927,2383.249894952269,0.2386603822697381
0.0,0.3,0.0,0.9,0.0,0.1,0.9518387027762232,0.8260783423484993,0.0,7510.559583465379,2474.938080677356,0.24785325317982856
0.0,0.3,0.2,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.3,0.2,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.3,0.2,0.7,0.0,0.1,0.9515628580033832,0.8311783073221274,0.0,7556.915218343426,2428.807898240917,0.243228043666376
0.0,0.3,0.2,0.9,0.0,0.1,0.9524290784023178,0.8151625467000831,0.0,7411.340707567669,2573.678059824893,0.2577539531752899
0.0,0.3,0.4,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.3,0.4,0.7,0.0,0.1,0.952736749132489,0.8094734899444042,0.0,7359.629940879423,2625.141196348813,0.2629145085319953
0.0,0.3,0.4,0.9,0.0,0.1,0.954904158226184,0.7693902333815906,0.0,6995.284683639487,2987.778692808921,0.29928475660662973
0.0,0.3,0.6,0.7,0.0,0.1,0.996422961155674,4.0781294425518355e-33,0.0,-1.154315973994047e-56,9959.330658108242,1.0
0.0,0.3,0.6,0.9,0.0,0.1,0.9964229611556984,-1.8519088889875479e-31,0.0,8.444696867654032e-57,9959.33065810592,1.0
0.0,0.3,0.8,0.9,0.0,0.1,0.9964229611556962,-3.338878782654623e-27,0.0,-1.4410327825243921e-46,9959.33065810614,1.0
0.0,0.5,0.0,0.1,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.5,0.0,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.5,0.0,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.5,0.0,0.7,0.0,0.1,0.9512904169322351,0.8362151563355871,0.0,7602.696965128927,2383.249894952269,0.2386603822697381
0.0,0.5,0.0,0.9,0.0,0.1,0.9518387027762232,0.8260783423484993,0.0,7510.559583465379,2474.938080677356,0.24785325317982856
0.0,0.5,0.2,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.5,0.2,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.5,0.2,0.7,0.0,0.1,0.9515628580033832,0.8311783073221274,0.0,7556.915218343426,2428.807898240917,0.243228043666376
0.0,0.5,0.2,0.9,0.0,0.1,0.9524290784023178,0.8151625467000831,0.0,7411.340707567669,2573.678059824893,0.2577539531752899
0.0,0.5,0.4,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.0,0.5,0.4,0.7,0.0,0.1,0.952736749132489,0.8094734899444042,0.0,7359.629940879423,2625.141196348813,0.2629145085319953
0.0,0.5,0.4,0.9,0.0,0.1,0.954904158226184,0.7693902333815906,0.0,6995.284683639487,2987.778692808921,0.29928475660662973
0.0,0.5,0.6,0.7,0.0,0.1,0.996422961155674,4.0781294425518355e-33,0.0,-1.154315973994047e-56,9959.330658108242,1.0
0.0,0.5,0.6,0.9,0.0,0.1,0.9964229611556984,-1.8519088889875479e-31,0.0,8.444696867654032e-57,9959.33065810592,1.0
0.0,0.5,0.8,0.9,0.0,0.1,0.9964229611556962,-3.338878782654623e-27,0.0,-1.4410327825243921e-46,9959.33065810614,1.0
0.0,0.7,0.0,0.1,0.0,0.1,0.9508464223979968,0.8444232626118493,0.0,7677.302956747781,2309.01083103506,0.23121753232507888
0.0,0.7,0.0,0.3,0.0,0.1,0.9508464223979968,0.8444232626118493,0.0,7677.302956747781,2309.01083103506,0.23121753232507888
0.0,0.7,0.0,0.5,0.0,0.1,0.9508464223979968,0.8444232626118493,0.0,7677.302956747781,2309.01083103506,0.23121753232507888
0.0,0.7,0.0,0.7,0.0,0.1,0.9512897855955398,0.8362268288146328,0.0,7602.803055018696,2383.144322941658,0.2386497978350472
0.0,0.7,0.0,0.9,0.0,0.1,0.9518380571017292,0.8260902801398373,0.0,7510.668091103142,2474.830099503589,0.2478424263129545
0.0,0.7,0.2,0.3,0.0,0.1,0.9508464223979968,0.8444232626118493,0.0,7677.302956747781,2309.01083103506,0.23121753232507888
0.0,0.7,0.2,0.5,0.0,0.1,0.9508464223979968,0.8444232626118493,0.0,7677.302956747781,2309.01083103506,0.23121753232507888
0.0,0.7,0.2,0.7,0.0,0.1,0.9515622204763208,0.8311900939194672,0.0,7557.022351849244,2428.701287340404,0.24321735460500846
0.0,0.7,0.2,0.9,0.0,0.1,0.952428419732787,0.8151747140256409,0.0,7411.451410291428,2573.5678877000337,0.25774290573656883
0.0,0.7,0.4,0.5,0.0,0.1,0.9508464223979968,0.8444232626118493,0.0,7677.302956747781,2309.01083103506,0.23121753232507888
0.0,0.7,0.4,0.7,0.0,0.1,0.9527360888795134,0.8094856985938294,0.0,7359.740911841399,2625.0307561898585,0.26290343369538943
0.0,0.7,0.4,0.9,0.0,0.1,0.9549034499703996,0.7694033356072043,0.0,6995.403782969772,2987.660128775433,0.2992728640413102
0.0,0.7,0.6,0.7,0.0,0.1,0.9964229611557112,-3.844051864331308e-32,0.0,1.0148569776964401e-56,9959.3306581047,1.0
0.0,0.7,0.6,0.9,0.0,0.1,0.9964229611556982,-4.0428271577039966e-36,0.0,1.6176399114567265e-52,9959.33065810594,1.0
0.0,0.7,0.8,0.9,0.0,0.1,0.9964229611556948,7.195308809145566e-33,0.0,-3.94959495793437e-63,9959.330658106268,1.0
0.0,0.9,0.0,0.1,0.0,0.1,0.9508444252925752,0.8444601819168058,0.0,7677.638526092411,2308.676918609333,0.23118405696209057
0.0,0.9,0.0,0.3,0.0,0.1,0.9508444252925752,0.8444601819168058,0.0,7677.638526092411,2308.676918609333,0.23118405696209057
0.0,0.9,0.0,0.5,0.0,0.1,0.9508444252925752,0.8444601819168058,0.0,7677.638526092411,2308.676918609333,0.23118405696209057
0.0,0.9,0.0,0.7,0.0,0.1,0.9512877719179972,0.8362640566849822,0.0,7603.141431793835,2382.8076039278435,0.2386160389367178
0.0,0.9,0.0,0.9,0.0,0.1,0.9518360102716686,0.826128105231749,0.0,7511.012069282487,2474.487789762322,0.24780810422033556
0.0,0.9,0.2,0.3,0.0,0.1,0.9508444252925752,0.8444601819168058,0.0,7677.638526092411,2308.676918609333,0.23118405696209057
0.0,0.9,0.2,0.5,0.0,0.1,0.9508444252925752,0.8444601819168058,0.0,7677.638526092411,2308.676918609333,0.23118405696209057
0.0,0.9,0.2,0.7,0.0,0.1,0.9515601947702472,0.8312275455452923,0.0,7557.3627640147815,2428.362534860619,0.2431833905078585
0.0,0.9,0.2,0.9,0.0,0.1,0.9524263465541416,0.8152130474116341,0.0,7411.799841202653,2573.221132119639,0.257708134914759
0.0,0.9,0.4,0.5,0.0,0.1,0.9508444252925752,0.8444601819168058,0.0,7677.638526092411,2308.676918609333,0.23118405696209057
0.0,0.9,0.4,0.7,0.0,0.1,0.9527340211148932,0.8095239333145962,0.0,7360.088454690409,2624.684871963781,0.26286874885353956
0.0,0.9,0.4,0.9,0.0,0.1,0.9549012751353546,0.7694435595277038,0.0,6995.769411172048,2987.296194625443,0.29923635810733556
0.0,0.9,0.6,0.7,0.0,0.1,0.9964229611557024,5.435186707232219e-30,0.0,-1.1963648282525385e-57,9959.330658105524,1.0
0.0,0.9,0.6,0.9,0.0,0.1,0.9964229611556982,-8.417458010306501e-42,0.0,-2.498641821363024e-66,9959.33065810594,1.0
0.0,0.9,0.8,0.9,0.0,0.1,0.9964229611556982,1.3872171286331036e-40,0.0,2.2852473442493327e-57,9959.33065810594,1.0
0.2,0.3,0.0,0.1,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.2,0.3,0.0,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.2,0.3,0.0,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.2,0.3,0.0,0.7,0.0,0.1,0.9512904169322351,0.8362151563355871,0.0,7602.696965128927,2383.249894952269,0.2386603822697381
0.2,0.3,0.0,0.9,0.0,0.1,0.9518387027762232,0.8260783423484993,0.0,7510.559583465379,2474.938080677356,0.24785325317982856
0.2,0.3,0.2,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.2,0.3,0.2,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.2,0.3,0.2,0.7,0.0,0.1,0.9515628580033832,0.8311783073221274,0.0,7556.915218343426,2428.807898240917,0.243228043666376
0.2,0.3,0.2,0.9,0.0,0.1,0.9524290784023178,0.8151625467000831,0.0,7411.340707567669,2573.678059824893,0.2577539531752899
0.2,0.3,0.4,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.2,0.3,0.4,0.7,0.0,0.1,0.952736749132489,0.8094734899444042,0.0,7359.629940879423,2625.141196348813,0.2629145085319953
0.2,0.3,0.4,0.9,0.0,0.1,0.954904158226184,0.7693902333815906,0.0,6995.284683639487,2987.778692808921,0.29928475660662973
0.2,0.3,0.6,0.7,0.0,0.1,0.996422961155674,4.0781294425518355e-33,0.0,-1.154315973994047e-56,9959.330658108242,1.0
0.2,0.3,0.6,0.9,0.0,0.1,0.9964229611556984,-1.8519088889875479e-31,0.0,8.444696867654032e-57,9959.33065810592,1.0
0.2,0.3,0.8,0.9,0.0,0.1,0.9964229611556962,-3.338878782654623e-27,0.0,-1.4410327825243921e-46,9959.33065810614,1.0
0.2,0.5,0.0,0.1,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.2,0.5,0.0,0.3,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
0.2,0.5,0.0,0.5,0.0,0.1,0.9508470471927052,0.8444117124584577,0.0,7677.197973969415,2309.1152953682176,0.23122800507953378
