,l_lim_o2Tneg,u_lim_o2Tneg,l_lim_o2Tpro,u_lim_o2Tpro,l_lim_testTpro,u_lim_testTpro,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
l_lim_o2Tneg,1.0,0.49999999999999856,1.5067312477055697e-16,6.264829924670511e-17,0.0,-3.304235192336806e-19,-0.17918857106340622,0.17905276290464506,,0.1790360216293143,-0.17894897447908037
u_lim_o2Tneg,0.49999999999999856,1.0,-4.837400321581038e-17,1.0785023667787204e-16,1.8675019722145008e-17,5.286776307738888e-18,-0.08961095708165698,0.08954301662335916,,0.0895346417568815,-0.08949109501602313
l_lim_o2Tpro,1.5067312477055697e-16,-4.837400321581038e-17,1.0,0.49999999999999717,0.0,0.0,0.20337745924730416,-0.20337992644196887,,-0.20338022834008396,0.20338179383831292
u_lim_o2Tpro,6.264829924670511e-17,1.0785023667787204e-16,0.49999999999999717,1.0,-3.0283815765640383e-17,-1.6521175961683936e-19,0.137412357157457,-0.13740097559171133,,-0.1373995703862724,0.13739226536763896
l_lim_testTpro,0.0,1.8675019722145008e-17,0.0,-3.0283815765640383e-17,1.0,0.3273268353539969,0.3904255403127641,-0.3904426162804714,,-0.39044471768317063,0.39045563148588713
u_lim_testTpro,-3.304235192336806e-19,5.286776307738888e-18,0.0,-1.6521175961683936e-19,0.3273268353539969,1.0,0.6394195450237986,-0.6394820310494137,,-0.6394897281754156,0.6395297249394583
o2_eq,-0.17918857106340622,-0.08961095708165698,0.20337745924730416,0.137412357157457,0.3904255403127641,0.6394195450237986,1.0,-0.999999937643464,,-0.9999999213244203,0.9999998059408233
test_eq,0.17905276290464506,0.08954301662335916,-0.20337992644196887,-0.13740097559171133,-0.3904426162804714,-0.6394820310494137,-0.999999937643464,1.0,,0.9999999990526757,-0.9999999635920879
Tpos_eq,,,,,,,,,,,
Tpro_eq,0.1790360216293143,0.0895346417568815,-0.20338022834008396,-0.1373995703862724,-0.39044471768317063,-0.6394897281754156,-0.9999999213244203,0.9999999990526757,,1.0,-0.9999999743904556
Tneg_eq,-0.17894897447908037,-0.08949109501602313,0.20338179383831292,0.13739226536763896,0.39045563148588713,0.6395297249394583,0.9999998059408233,-0.9999999635920879,,-0.9999999743904556,1.0
