l_lim_o2Tpos,l_lim_o2Tpro,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.0,1.0999980485915493,-1.7957746508333264e-06,0.11971830997929868,3.5201795730865747e-13,0.0
0.0,0.2,1.0999980485915493,-1.7957746508333264e-06,0.11971830997929868,3.5201795730865747e-13,0.0
0.0,0.4,1.0999980485915497,-1.7957746439428985e-06,0.11971830989148842,3.0234474605522435e-12,0.0
0.0,0.6000000000000001,1.099998048591549,-1.7957746416971524e-06,0.1197183098128931,-6.192667530825822e-14,0.0
0.0,0.8,1.0999980485915497,-1.7957746484507053e-06,0.11971830985201727,-2.3334133055904648e-14,0.0
0.2,0.0,1.0999980485915493,-1.7957746508333264e-06,0.11971830997929868,3.5201795730865747e-13,0.0
0.2,0.2,1.0999980485915493,-1.7957746508333264e-06,0.11971830997929868,3.5201795730865747e-13,0.0
0.2,0.4,1.0999980485915497,-1.7957746439428985e-06,0.11971830989148842,3.0234474605522435e-12,0.0
0.2,0.6000000000000001,1.099998048591549,-1.7957746416971524e-06,0.1197183098128931,-6.192667530825822e-14,0.0
0.2,0.8,1.0999980485915497,-1.7957746484507053e-06,0.11971830985201727,-2.3334133055904648e-14,0.0
0.4,0.0,1.099998048591358,-1.7957747956195548e-06,0.1197183205525724,-3.813304121473342e-12,0.0
0.4,0.2,1.099998048591358,-1.7957747956195548e-06,0.1197183205525724,-3.813304121473342e-12,0.0
0.4,0.4,1.099998048591549,-1.79577464815476e-06,0.11971830986130215,2.089632199542844e-14,0.0
0.4,0.6000000000000001,1.09999804859155,-1.7957746489157925e-06,0.11971830986537935,-1.520215956864881e-12,0.0
0.4,0.8,1.0999980485915497,-1.7957746439366487e-06,0.1197183097130872,-2.5011780651092622e-12,0.0
0.6000000000000001,0.0,0.937010762453381,1.1719475498375698,145.1608244249298,9854.178902405572,0.0
0.6000000000000001,0.2,0.937010762453381,1.1719475498375698,145.1608244249298,9854.178902405572,0.0
0.6000000000000001,0.4,0.9370114582586608,1.1543097552359929,276.5981019275005,9722.698937500727,0.0
0.6000000000000001,0.6000000000000001,1.0999980485915493,-1.7957746485503747e-06,0.11971830987824955,-4.3399690246760573e-13,0.0
0.6000000000000001,0.8,1.0999980485915493,-1.79577464785014e-06,0.11971830985884847,-4.7366210693043e-15,0.0
0.8,0.0,0.9370099903225172,1.1914269725818865,3.6727042001855796e-11,9999.387096783596,0.0
0.8,0.2,0.9370099903225172,1.1914269725818865,3.6727042001855796e-11,9999.387096783596,0.0
0.8,0.4,0.9370099903225808,1.1914269725806432,-2.5785141677988377e-15,9999.38709677418,0.0
0.8,0.6000000000000001,1.0998624244441189,0.0008279376725130553,1.3276634847070576,7.112390023205199,0.0
0.8,0.8,1.0999980485915497,-1.795774644831464e-06,0.119718309796244,-6.9094440237474e-13,0.0
