Case,lltestTpro,ultestTpro,llo2Tpro,ulo2Tpro,lltestTpos,ultestTpos,llo2Tpos,ulo2Tpos,llo2Tneg,ulo2Tneg
o2-Null_test-HE,0,0.1,0,1,0,0.1,0,1,0,1
o2-HE_test-HE,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1
o2-LE-test-HE,0,0.1,0.4,1,0,0.1,0.4,1,0.4,1
