p_o2-mu_o2,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0001,0.0009993015111781636,0.0,0.0,0.0,210120.92206460625
0.0002782559402207126,0.002769410381899043,0.0,0.0,0.0,583621.2176265551
0.000774263682681127,0.007692175770996136,0.0,0.0,0.0,1615917.8426247097
0.002154434690031882,0.021089866276277448,0.0,0.0,0.0,4435557.777166913
0.005994842503189409,0.05656775331892337,0.0,0.0,0.0,11894348.330019506
0.016681005372000592,0.14282893708858238,0.0,0.0,0.0,30061737.381668914
0.046415888336127774,0.31742830720292714,0.0,0.0,0.0,66642173.38956794
0.12915496650148828,0.5634826144201971,0.0,0.0,0.0,118437854.59690204
0.3593813663804626,0.7812177179604272,0.0,0.0,0.0,164341295.81395268
1.0,0.9063391375827832,0.0,0.0,0.0,190937183.57641503
