p_o2,mu_o2,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.1,5e-10,0.4870356569690869,0.0,0.0,0.0,102516060.60243502
0.1,1.625e-09,0.22655969050474906,0.0,0.0,0.0,47608405.13843302
0.1,2.75e-09,0.14722182804132858,0.0,0.0,0.0,31003518.488014016
0.1,3.875e-09,0.1093957406863032,0.0,0.0,0.0,22985958.296176795
0.1,5e-09,0.0867687022983682,0.0,0.0,0.0,18263369.15865369
0.2,5e-10,0.9749895031026852,0.0,0.0,0.0,204988696.67600617
0.2,1.625e-09,0.4530497402400146,0.0,0.0,0.0,95216895.92458852
0.2,2.75e-09,0.2951759947108393,0.0,0.0,0.0,62006318.39084096
0.2,3.875e-09,0.2182172908788644,0.0,0.0,0.0,45972529.48129057
0.2,5e-09,0.17362612247502995,0.0,0.0,0.0,36526647.46898137
0.30000000000000004,5e-10,1.9478031280760717,0.0,0.0,0.0,210319422.89406013
0.30000000000000004,1.625e-09,0.6787657295267404,0.0,0.0,0.0,142826104.39410028
0.30000000000000004,2.75e-09,0.4418393992566133,0.0,0.0,0.0,93010357.17785524
0.30000000000000004,3.875e-09,0.32781832028301555,0.0,0.0,0.0,68958264.1628193
0.30000000000000004,5e-09,0.2605112675098796,0.0,0.0,0.0,54789901.33092764
0.4,5e-10,2.946975779032964,0.0,0.0,0.0,210319422.89406013
0.4,1.625e-09,0.9066940727619464,0.0,0.0,0.0,190433147.88556305
0.4,2.75e-09,0.5889643088317501,0.0,0.0,0.0,124013935.69524561
0.4,3.875e-09,0.4368449776944725,0.0,0.0,0.0,91944592.79815546
0.4,5e-09,0.3474536639578077,0.0,0.0,0.0,73053089.0881676
0.5,5e-10,3.947026376691444,0.0,0.0,0.0,210319422.89406013
0.5,1.625e-09,1.5805749162739398,0.0,0.0,0.0,210319422.89406013
0.5,2.75e-09,0.736195892064843,0.0,0.0,0.0,155017428.72132304
0.5,3.875e-09,0.5453661779915009,0.0,0.0,0.0,114931426.28556262
0.5,5e-09,0.4346119964821353,0.0,0.0,0.0,91316094.1173419
