Case,Tpos_o2_eff,Tpos_test_eff,Tpro_o2_eff,Tpro_test_eff,Tneg_o2_eff,lltestTpro,ultestTpro,llo2Tpro,ulo2Tpro,lltestTpos,ultestTpos,llo2Tpos,ulo2Tpos,llo2Tneg,ulo2Tneg
Tpos_o2_Null-Tpos_test_HE-Tpro_o2_Null-Tpro_test_LE-Tneg_o2_Null,Null,HE,Null,LE,Null,0,0.3,0,1,0,0.1,0,1,0,1
Tpos_o2_Null-Tpos_test_HE-Tpro_o2_Null-Tpro_test_LE-Tneg_o2_LE,Null,HE,Null,LE,LE,0,0.3,0,1,0,0.1,0,1,0.4,1
Tpos_o2_Null-Tpos_test_HE-Tpro_o2_Null-Tpro_test_LE-Tneg_o2_HE,Null,HE,Null,LE,HE,0,0.3,0,1,0,0.1,0,1,0,0.1
Tpos_o2_Null-Tpos_test_HE-Tpro_o2_LE-Tpro_test_LE-Tneg_o2_Null,Null,HE,LE,LE,Null,0,0.3,0.4,1,0,0.1,0,1,0,1
Tpos_o2_Null-Tpos_test_HE-Tpro_o2_LE-Tpro_test_LE-Tneg_o2_LE,Null,HE,LE,LE,LE,0,0.3,0.4,1,0,0.1,0,1,0.4,1
Tpos_o2_Null-Tpos_test_HE-Tpro_o2_LE-Tpro_test_LE-Tneg_o2_HE,Null,HE,LE,LE,HE,0,0.3,0.4,1,0,0.1,0,1,0,0.1
Tpos_o2_LE-Tpos_test_HE-Tpro_o2_Null-Tpro_test_LE-Tneg_o2_Null,LE,HE,Null,LE,Null,0,0.3,0,1,0,0.1,0.4,1,0,1
Tpos_o2_LE-Tpos_test_HE-Tpro_o2_Null-Tpro_test_LE-Tneg_o2_LE,LE,HE,Null,LE,LE,0,0.3,0,1,0,0.1,0.4,1,0.4,1
Tpos_o2_LE-Tpos_test_HE-Tpro_o2_Null-Tpro_test_LE-Tneg_o2_HE,LE,HE,Null,LE,HE,0,0.3,0,1,0,0.1,0.4,1,0,0.1
