Case,lltestTpro,ultestTpro,llo2Tpro,ulo2Tpro,lltestTpos,ultestTpos,llo2Tpos,ulo2Tpos,Tpro-Tpos_case,Tpro-Tpos_outcome
1.1,0,0.1,0,0.5,0,0.1,0,1,1,Both extinct?
1.2,0,0.3,0,0.5,0,0.1,0,1,1,Both extinct?
1.3,0,0.1,0,1,0,0.1,0,1,1,Coexist (Need Both extinct)
1.4,0,0.3,0,1,0,0.1,0,1,1,Both extinct
1.5,0,1,0,1,0,1,0,1,1,Both extinct?
2.1,0,0.1,0,0.5,0,0.3,0,1,2,Coexist
2.2,0,0.1,0,1,0,0.3,0,1,2,Coexist
2.3,0,0.3,0,0.5,0,0.5,0,1,2,Coexist?
2.4,0,0.3,0,1,0,0.5,0,1,2,Coexist?
2.5,0,1,0,1,0,1.1,0,1,2,Coexist??
3.1,0,0.1,0.4,0.5,0,0.1,0.6,1,3,Coexist
3.2,0,0.1,0.4,1,0,0.1,0.6,1,3,Coexist?
3.3,0,0.3,0.4,0.5,0,0.3,0.6,1,3,Coexist?
3.4,0,0.3,0.4,1,0,0.3,0.6,1,3,Coexist?
3.5,0,1,0.4,1,0,1,0.6,1,3,Coexist
4.1,0,0.1,0,0.5,0,0.1,0.6,1,4,Tpos extinct
4.2,0,0.1,0,1,0,0.1,0.6,1,4,Tpos extinct?
4.3,0,0.3,0,0.5,0,0.3,0.6,1,4,Tpos extinct?
4.4,0,0.3,0,1,0,0.3,0.6,1,4,Tpos extinct?
4.5,0,1,0,1,0,1,0.6,1,4,Tpos extinct
