l_lim_o2Tpos,u_lim_o2Tpos,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.1,0.7676381922429103,-479.01256834783084,239.5563380281677,0.0,0.0
0.0,0.30000000000000004,0.7676381922429103,-479.01256834783084,239.5563380281677,0.0,0.0
0.0,0.5000000000000001,0.7676381922429103,-479.01256834783084,239.5563380281677,0.0,0.0
0.0,0.7000000000000001,0.7676389852190815,-479.0126114810211,239.5563380281677,0.0,0.0
0.0,0.9000000000000001,0.7845082190072327,-417.7637296724362,208.8308250879965,0.0,0.0
0.2,0.30000000000000004,0.7676381922429103,-479.01256834783084,239.5563380281677,0.0,0.0
0.2,0.5,0.7676381922429103,-479.01256834783084,239.5563380281677,0.0,0.0
0.2,0.7,0.7685761167081436,-479.0610330361741,239.5563380281677,0.0,0.0
0.2,0.8999999999999999,0.7881665280701148,-402.7383116166303,201.30344018494893,0.0,0.0
0.4,0.5,0.7676381922429103,-479.01256834783084,239.5563380281677,0.0,0.0
0.4,0.7,0.7691167503338376,-479.0889708102404,239.5563380281677,0.0,0.0
0.4,0.8999999999999999,0.7941989511448286,-377.9555767349208,188.89104702710128,0.0,0.0
0.6000000000000001,0.7000000000000001,0.7689218617583483,-479.0831918330568,239.5563380281677,0.0,0.0
0.6000000000000001,0.9000000000000001,0.8060266795210059,-329.2003762380527,164.55415736418362,0.0,0.0
0.8,0.9,0.8397205376904053,-190.55027643078574,95.22523108970171,0.0,0.0
