,Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq,Tpos_0,Tpro_0,Tneg_0
Tpos_ir,1.0,-0.4999701082082862,-0.5000149456724838,1.3563648069766937e-17,-0.222709795215666,,,,0.22270716113128283,0.7222372147142148,-0.36109701839271696,-0.3607758044853392
Tpro_ir,-0.4999701082082862,1.0,-0.5000149456724838,0.0,0.5560260838451296,,,,-0.5560238869721749,-0.3610970183927172,0.7222372147142149,-0.36077580448533925
Tneg_ir,-0.5000149456724838,-0.5000149456724838,1.0,6.781621323101059e-18,-0.333306325655103,,,,0.3333067628534631,-0.36112940167797397,-0.36112940167797386,0.7215300414673039
Totcell,1.3563648069766937e-17,0.0,6.781621323101059e-18,1.0,0.267265111990149,,,,-0.26726124657483513,0.5738791125983493,0.5738791125983493,0.5750216882048523
o2_eq,-0.222709795215666,0.5560260838451296,-0.333306325655103,0.267265111990149,1.0,,,,-0.9999999998935792,-0.053887402719204384,0.7045482195572484,-0.1898748488040767
test_eq,,,,,,,,,,,,
Tpos_eq,,,,,,,,,,,,
Tpro_eq,,,,,,,,,,,,
Tneg_eq,0.22270716113128283,-0.5560238869721749,0.3333067628534631,-0.26726124657483513,-0.9999999998935792,,,,1.0,0.0538887382984754,-0.7045453806846704,0.18987733334761744
Tpos_0,0.7222372147142148,-0.3610970183927172,-0.36112940167797397,0.5738791125983493,-0.053887402719204384,,,,0.0538887382984754,1.0,-0.005974098873341085,-0.005020122349614853
Tpro_0,-0.36109701839271696,0.7222372147142149,-0.36112940167797386,0.5738791125983493,0.7045482195572484,,,,-0.7045453806846704,-0.005974098873341085,1.0,-0.005020122349614872
Tneg_0,-0.3607758044853392,-0.36077580448533925,0.7215300414673039,0.5750216882048523,-0.1898748488040767,,,,0.18987733334761744,-0.005020122349614853,-0.005020122349614872,1.0
