,Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq,Tpos_0,Tpro_0,Tneg_0
Tpos_ir,1.0,-0.4999701082082862,-0.5000149456724838,1.3563648069766937e-17,0.6142292467607199,-0.6667016775915919,-0.0707886757725746,-0.66034140955008,0.15007517908033943,0.7222372147142148,-0.36109701839271696,-0.3607758044853392
Tpro_ir,-0.4999701082082862,1.0,-0.5000149456724838,0.0,-0.6360144244422457,0.9076435301952968,0.270457805049127,0.906367706675125,-0.6003007145706277,-0.3610970183927172,0.7222372147142149,-0.36077580448533925
Tneg_ir,-0.5000149456724838,-0.5000149456724838,1.0,6.781621323101059e-18,0.02178452651272859,-0.24093465074294385,-0.19966316107612725,-0.24601894328794136,0.45021207804575436,-0.36112940167797397,-0.36112940167797386,0.7215300414673039
Totcell,1.3563648069766937e-17,0.0,6.781621323101059e-18,1.0,0.10837131666806417,0.09712625463922667,0.049009124531715034,0.09784098684451259,-0.2820380381191131,0.5738791125983493,0.5738791125983493,0.5750216882048523
o2_eq,0.6142292467607199,-0.6360144244422457,0.02178452651272859,0.10837131666806417,1.0,-0.7073864053787723,-0.6503202844738454,-0.7250343810163363,0.3341004527794424,0.6166273858179631,-0.43881713015585344,0.008943579107629674
test_eq,-0.6667016775915919,0.9076435301952968,-0.24093465074294385,0.09712625463922667,-0.7073864053787723,1.0,0.3119603906324926,0.999187765599009,-0.6676682716107277,-0.4442775658752143,0.7027237686153196,-0.09097075015910402
Tpos_eq,-0.0707886757725746,0.270457805049127,-0.19966316107612725,0.049009124531715034,-0.6503202844738454,0.3119603906324926,1.0,0.34999252688889587,-0.6139647091575184,-0.06393296350054646,0.17084978088014185,-0.022433759682312305
Tpro_eq,-0.66034140955008,0.906367706675125,-0.24601894328794136,0.09784098684451259,-0.7250343810163363,0.999187765599009,0.34999252688889587,1.0,-0.6843320730014283,-0.440749903126588,0.7001011216494804,-0.09064435421674037
Tneg_eq,0.15007517908033943,-0.6003007145706277,0.45021207804575436,-0.2820380381191131,0.3341004527794424,-0.6676682716107277,-0.6139647091575184,-0.6843320730014283,1.0,-0.11623616770489283,-0.48702537582365996,0.1170900095589842
Tpos_0,0.7222372147142148,-0.3610970183927172,-0.36112940167797397,0.5738791125983493,0.6166273858179631,-0.4442775658752143,-0.06393296350054646,-0.440749903126588,-0.11623616770489283,1.0,-0.005974098873341085,-0.005020122349614853
Tpro_0,-0.36109701839271696,0.7222372147142149,-0.36112940167797386,0.5738791125983493,-0.43881713015585344,0.7027237686153196,0.17084978088014185,0.7001011216494804,-0.48702537582365996,-0.005974098873341085,1.0,-0.005020122349614872
Tneg_0,-0.3607758044853392,-0.36077580448533925,0.7215300414673039,0.5750216882048523,0.008943579107629674,-0.09097075015910402,-0.022433759682312305,-0.09064435421674037,0.1170900095589842,-0.005020122349614853,-0.005020122349614872,1.0
