,Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq,Tpos_0,Tpro_0,Tneg_0
Tpos_ir,1.0,-0.4999701082082862,-0.5000149456724838,1.3563648069766937e-17,-0.17767906578134607,,,,0.1776786928609355,0.7222372147142148,-0.36109701839271696,-0.3607758044853392
Tpro_ir,-0.4999701082082862,1.0,-0.5000149456724838,0.0,0.537029052772183,,,,-0.5370288561660226,-0.3610970183927172,0.7222372147142149,-0.36077580448533925
Tneg_ir,-0.5000149456724838,-0.5000149456724838,1.0,6.781621323101059e-18,-0.3593392458574782,,,,0.3593394221664584,-0.36112940167797397,-0.36112940167797386,0.7215300414673039
Totcell,1.3563648069766937e-17,0.0,6.781621323101059e-18,1.0,0.45418638569315545,,,,-0.45418687030089105,0.5738791125983493,0.5738791125983493,0.5750216882048523
o2_eq,-0.17767906578134607,0.537029052772183,-0.3593392458574782,0.45418638569315545,1.0,,,,-0.9999999999973065,0.0957805453941228,0.8150669050036248,-0.12799120944658574
test_eq,,,,,,,,,,,,
Tpos_eq,,,,,,,,,,,,
Tpro_eq,,,,,,,,,,,,
Tneg_eq,0.1776786928609355,-0.5370288561660226,0.3593394221664584,-0.45418687030089105,-0.9999999999973065,,,,1.0,-0.09578116416282512,-0.81506682126037,0.12799090962093856
Tpos_0,0.7222372147142148,-0.3610970183927172,-0.36112940167797397,0.5738791125983493,0.0957805453941228,,,,-0.09578116416282512,1.0,-0.005974098873341085,-0.005020122349614853
Tpro_0,-0.36109701839271696,0.7222372147142149,-0.36112940167797386,0.5738791125983493,0.8150669050036248,,,,-0.81506682126037,-0.005974098873341085,1.0,-0.005020122349614872
Tneg_0,-0.3607758044853392,-0.36077580448533925,0.7215300414673039,0.5750216882048523,-0.12799120944658574,,,,0.12799090962093856,-0.005020122349614853,-0.005020122349614872,1.0
