,Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq,Tpos_0,Tpro_0,Tneg_0
Tpos_ir,1.0,-0.4999701082082862,-0.5000149456724838,1.3563648069766937e-17,0.5560572154163294,-0.6466674860171572,-0.2029900904363998,-0.6426448488118577,0.15796604562710642,0.7222372147142148,-0.36109701839271696,-0.3607758044853392
Tpro_ir,-0.4999701082082862,1.0,-0.5000149456724838,0.0,-0.7825628093427123,0.8976068997425498,0.39822494653896995,0.8960805737470955,-0.5491870769935528,-0.3610970183927172,0.7222372147142149,-0.36077580448533925
Tneg_ir,-0.5000149456724838,-0.5000149456724838,1.0,6.781621323101059e-18,0.22649882357191226,-0.25093191303301626,-0.19522902044457202,-0.2534281496269923,0.3912093375931816,-0.36112940167797397,-0.36112940167797386,0.7215300414673039
Totcell,1.3563648069766937e-17,0.0,6.781621323101059e-18,1.0,-0.03667934720235132,0.08377365396067615,0.06782343477520804,0.08469923960154171,-0.4001995958594445,0.5738791125983493,0.5738791125983493,0.5750216882048523
o2_eq,0.5560572154163294,-0.7825628093427123,0.22649882357191226,-0.03667934720235132,1.0,-0.901473074420783,-0.7966944782502856,-0.9137632646490739,0.48796166482034076,0.3525364501813794,-0.6087395460072791,0.19279662140197085
test_eq,-0.6466674860171572,0.8976068997425498,-0.25093191303301626,0.08377365396067615,-0.901473074420783,1.0,0.4790257982864904,0.9995322480563715,-0.5355590863029019,-0.4118477911359301,0.7044957734903058,-0.1481261487421597
Tpos_eq,-0.2029900904363998,0.39822494653896995,-0.19522902044457202,0.06782343477520804,-0.7966944782502856,0.4790257982864904,1.0,0.5056470162392118,-0.47335196423089476,-0.04461835453459542,0.31398109597258606,-0.1523246481217113
Tpro_eq,-0.6426448488118577,0.8960805737470955,-0.2534281496269923,0.08469923960154171,-0.9137632646490739,0.9995322480563715,0.5056470162392118,1.0,-0.5428620387984646,-0.40633632359783767,0.703347574248158,-0.1508915060472512
Tneg_eq,0.15796604562710642,-0.5491870769935528,0.3912093375931816,-0.4001995958594445,0.48796166482034076,-0.5355590863029019,-0.47335196423089476,-0.5428620387984646,1.0,-0.18066202343214702,-0.47250905290115247,-0.03648033275118793
Tpos_0,0.7222372147142148,-0.3610970183927172,-0.36112940167797397,0.5738791125983493,0.3525364501813794,-0.4118477911359301,-0.04461835453459542,-0.40633632359783767,-0.18066202343214702,1.0,-0.005974098873341085,-0.005020122349614853
Tpro_0,-0.36109701839271696,0.7222372147142149,-0.36112940167797386,0.5738791125983493,-0.6087395460072791,0.7044957734903058,0.31398109597258606,0.703347574248158,-0.47250905290115247,-0.005974098873341085,1.0,-0.005020122349614872
Tneg_0,-0.3607758044853392,-0.36077580448533925,0.7215300414673039,0.5750216882048523,0.19279662140197085,-0.1481261487421597,-0.1523246481217113,-0.1508915060472512,-0.03648033275118793,-0.005020122349614853,-0.005020122349614872,1.0
