,Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq,Tpos_0,Tpro_0,Tneg_0
Tpos_ir,1.0,-0.4999701082082862,-0.5000149456724838,1.3563648069766937e-17,0.29286198801869556,-0.29586210114331996,-0.21087664039492834,-0.2957111281699459,0.29286678650684367,0.7222372147142148,-0.36109701839271696,-0.3607758044853392
Tpro_ir,-0.4999701082082862,1.0,-0.5000149456724838,0.0,-0.6840534356972399,0.6876954996067998,0.5403253972471047,0.6875225375666091,-0.6840657452976351,-0.3610970183927172,0.7222372147142149,-0.36077580448533925
Tneg_ir,-0.5000149456724838,-0.5000149456724838,1.0,6.781621323101059e-18,0.391179754789549,-0.39182168638628556,-0.32943890948008686,-0.391799697976732,0.3911872656772857,-0.36112940167797397,-0.36112940167797386,0.7215300414673039
Totcell,1.3563648069766937e-17,0.0,6.781621323101059e-18,1.0,-0.15109278754455127,0.13909822687297038,0.3003083124527919,0.13973384341919629,-0.15101795498342405,0.5738791125983493,0.5738791125983493,0.5750216882048523
o2_eq,0.29286198801869556,-0.6840534356972399,0.391179754789549,-0.15109278754455127,1.0,-0.9994070674651594,-0.8737106533994261,-0.9994677212202976,0.9999999584503751,0.1330483512008762,-0.6473260676436016,0.2536341682361306
test_eq,-0.29586210114331996,0.6876954996067998,-0.39182168638628556,0.13909822687297038,-0.9994070674651594,1.0,0.8564437001414046,0.9999983634562997,-0.9994156026182154,-0.13870619644403323,0.6350504702887853,-0.2563689179353443
Tpos_eq,-0.21087664039492834,0.5403253972471047,-0.32943890948008686,0.3003083124527919,-0.8737106533994261,0.8564437001414046,1.0,0.8573762429355138,-0.8735896337992016,-0.034962920301216845,0.7335132662109265,-0.18082816220690986
Tpro_eq,-0.2957111281699459,0.6875225375666091,-0.391799697976732,0.13973384341919629,-0.9994677212202976,0.9999983634562997,0.8573762429355138,1.0,-0.9994758083919978,-0.13841007318086263,0.6357133686550621,-0.2562326805925542
Tneg_eq,0.29286678650684367,-0.6840657452976351,0.3911872656772857,-0.15101795498342405,0.9999999584503751,-0.9994156026182154,-0.8735896337992016,-0.9994758083919978,1.0,0.13306385143732133,-0.6472322813121112,0.2536538253089154
Tpos_0,0.7222372147142148,-0.3610970183927172,-0.36112940167797397,0.5738791125983493,0.1330483512008762,-0.13870619644403323,-0.034962920301216845,-0.13841007318086263,0.13306385143732133,1.0,-0.005974098873341085,-0.005020122349614853
Tpro_0,-0.36109701839271696,0.7222372147142149,-0.36112940167797386,0.5738791125983493,-0.6473260676436016,0.6350504702887853,0.7335132662109265,0.6357133686550621,-0.6472322813121112,-0.005974098873341085,1.0,-0.005020122349614872
Tneg_0,-0.3607758044853392,-0.36077580448533925,0.7215300414673039,0.5750216882048523,0.2536341682361306,-0.2563689179353443,-0.18082816220690986,-0.2562326805925542,0.2536538253089154,-0.005020122349614853,-0.005020122349614872,1.0
