Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.11,0.11,0.78,1000.0,0.6595683917553825,4.1e-322,0.0,0.0,1483.7904707194245
0.11,0.11,0.78,2000.0,0.6595685856644068,6.13e-322,0.0,0.0,1483.7904482361637
0.11,0.11,0.78,4000.0,0.6595685254199743,6e-322,0.0,0.0,1483.790455221385
0.11,0.33,0.56,1000.0,0.6595684480464337,5.04e-322,0.0,0.0,1483.7904641926254
0.11,0.33,0.56,2000.0,0.659568622417944,0.0,0.0,0.0,1483.7904439747324
0.11,0.33,0.56,4000.0,0.6749999986685473,0.0,0.0,0.0,0.0
0.11,0.56,0.32999999999999996,1000.0,0.6595685789267458,0.0,0.0,0.0,1483.7904490173973
0.11,0.56,0.32999999999999996,2000.0,0.6749999988368979,0.0,0.0,0.0,0.0
0.11,0.56,0.32999999999999996,4000.0,0.5804077649932389,0.4281280260469441,1814.598600811203,3988.606048557824,0.0
0.11,0.78,0.10999999999999999,1000.0,0.6749999509374924,0.0,0.0,0.0,0.0
0.11,0.78,0.10999999999999999,2000.0,0.5804066875502459,0.4582679143813577,1554.5005472201765,4248.770170862495,0.0
0.11,0.78,0.10999999999999999,4000.0,0.5804042977536666,0.5219898792234274,1004.6043815688562,4798.809290594875,0.0
0.33,0.11,0.56,1000.0,0.6595685799017742,6.1e-322,0.0,0.0,1483.7904489043453
0.33,0.11,0.56,2000.0,0.6595685803398138,0.0,0.0,0.0,1483.7904488535746
0.33,0.11,0.56,4000.0,0.6595684719413516,0.0,0.0,0.0,1483.7904614220733
0.33,0.33,0.33999999999999997,1000.0,0.6595686740256608,4.25e-322,0.0,0.0,1483.790437990945
0.33,0.33,0.33999999999999997,2000.0,0.6595686861891376,0.0,0.0,0.0,1483.7904365806244
0.33,0.33,0.33999999999999997,4000.0,0.6749999996961161,0.0,0.0,0.0,0.0
0.33,0.56,0.10999999999999988,1000.0,0.6595686463663701,0.0,0.0,0.0,1483.7904411979544
0.33,0.56,0.10999999999999988,2000.0,0.674999999632379,0.0,0.0,0.0,0.0
0.33,0.56,0.10999999999999988,4000.0,0.6749999995710254,0.0,0.0,0.0,0.0
0.56,0.11,0.32999999999999996,1000.0,0.6595685130578501,0.0,0.0,0.0,1483.7904566547213
0.56,0.11,0.32999999999999996,2000.0,0.6595685783032752,0.0,0.0,0.0,1483.7904490896924
0.56,0.11,0.32999999999999996,4000.0,0.6595685416618223,0.0,0.0,0.0,1483.7904533381854
0.56,0.33,0.10999999999999988,1000.0,0.6595686391438951,0.0,0.0,0.0,1483.7904420353998
0.56,0.33,0.10999999999999988,2000.0,0.6750000003790759,0.0,0.0,0.0,0.0
0.56,0.33,0.10999999999999988,4000.0,0.6749999993488683,0.0,0.0,0.0,0.0
0.78,0.11,0.10999999999999999,1000.0,0.6595684146802803,0.0,0.0,0.0,1483.7904680613535
0.78,0.11,0.10999999999999999,2000.0,0.6595686427461085,0.0,0.0,0.0,1483.7904416177225
0.78,0.11,0.10999999999999999,4000.0,0.6595684483172293,0.0,0.0,0.0,1483.7904641612256
