Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.11,0.11,0.78,1000.0,0.9967586637648518,6.03e-322,0.0,0.0,9927.051530806946
0.11,0.11,0.78,2000.0,0.9967586663584016,5.93e-322,0.0,0.0,9927.051530686742
0.11,0.11,0.78,4000.0,0.9967585213441283,5.43e-322,0.0,0.0,9927.051537407464
0.11,0.33,0.56,1000.0,0.9967588436016918,5.5e-322,0.0,0.0,9927.051522472371
0.11,0.33,0.56,2000.0,0.969055331090232,0.5666886599162372,0.0,5152.571098220008,4515.1869267497905
0.11,0.33,0.56,4000.0,0.9632362477312688,0.6855489708345651,0.0,6233.083286064799,3381.218350435981
0.11,0.56,0.32999999999999996,1000.0,0.9559806220087044,0.7818517724898838,447.0820520563522,7132.109539894251,1969.1048374997908
0.11,0.56,0.32999999999999996,2000.0,0.9526068256741131,0.8156983888244963,748.9509776160547,7455.701664645667,1313.2096530367978
0.11,0.56,0.32999999999999996,4000.0,0.950502318411568,0.8359174348055641,944.8246997509523,7649.815343820377,904.3294873926162
0.11,0.78,0.10999999999999999,1000.0,0.9479991366380556,0.9017354281389056,816.9689180754327,8241.214522091575,418.50701829585466
0.11,0.78,0.10999999999999999,2000.0,0.9472694234815132,0.907599358880976,894.7140434875238,8298.60851270013,276.8698145774573
0.11,0.78,0.10999999999999999,4000.0,0.9468052558953349,0.9182035442663368,884.7961977954512,8394.450330617827,186.83460590648042
0.33,0.11,0.56,1000.0,0.9967586633095116,6.1e-322,0.0,0.0,9927.051530828048
0.33,0.11,0.56,2000.0,0.996758664563194,6.1e-322,0.0,0.0,9927.051530769937
0.33,0.11,0.56,4000.0,0.9967586692497938,6.1e-322,0.0,0.0,9927.05153055274
0.33,0.33,0.33999999999999997,1000.0,0.9716583974392649,0.5134939932959331,0.0,4668.969655333649,5022.8403367542
0.33,0.33,0.33999999999999997,2000.0,0.9631356094399642,0.6876005593516872,0.0,6251.732598247465,3361.650123919396
0.33,0.33,0.33999999999999997,4000.0,0.9572348657261172,0.7330796462431932,647.2444724323823,6699.395346694723,2212.9856895080925
0.33,0.56,0.10999999999999988,1000.0,0.9489999558831776,0.7506171643868347,1945.8503929821993,6927.4919083749,611.9823239690544
0.33,0.56,0.10999999999999988,2000.0,0.9477681376955586,0.733825960437803,2307.627311911135,6794.0171803924095,372.6049401131533
0.33,0.56,0.10999999999999988,4000.0,0.9470875968500172,0.7215679867166079,2533.202321714307,6694.5411263996675,240.38846150198086
0.56,0.11,0.32999999999999996,1000.0,0.996758706023397,4.74e-322,0.0,0.0,9927.05152884844
0.56,0.11,0.32999999999999996,2000.0,0.9967586690247924,5.53e-322,0.0,0.0,9927.051530563176
0.56,0.11,0.32999999999999996,4000.0,0.9967586625387626,4.5e-322,0.0,0.0,9927.051530863766
0.56,0.33,0.10999999999999988,1000.0,0.9561554180766548,0.7146143750269798,996.79894469263,6550.056167501537,2002.9621807019225
0.56,0.33,0.10999999999999988,2000.0,0.9507793057310292,0.652169011908651,2482.760869826764,6061.123795140592,957.2549645019943
0.56,0.33,0.10999999999999988,4000.0,0.948541156485648,0.6004070089296106,3323.704289119234,5635.1734894540505,522.0279914598401
0.78,0.11,0.10999999999999999,1000.0,0.9967584403731652,4.94e-322,0.0,0.0,9927.051541160066
0.78,0.11,0.10999999999999999,2000.0,0.9967588070138044,6.03e-322,0.0,0.0,9927.05152416804
0.78,0.11,0.10999999999999999,4000.0,0.99675841107412,6e-322,0.0,0.0,9927.051542517926
