Tpos_ir,Tpro_ir,Tneg_ir,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.11,0.11,0.78,1000.0,0.9967587553183924,5.83e-322,0.0,0.0,9927.051526563884
0.11,0.11,0.78,2000.0,0.9967587781246894,4.05e-322,0.0,0.0,9927.051525506908
0.11,0.11,0.78,4000.0,0.996758440109234,5.4e-322,0.0,0.0,9927.051541172292
0.11,0.33,0.56,1000.0,0.9967584403577042,6.1e-322,0.0,0.0,9927.05154116078
0.11,0.33,0.56,2000.0,0.9626270340961992,0.4213948397324578,2387.8873988567057,3958.345042757037,3262.456927305687
0.11,0.33,0.56,4000.0,0.9580713746383136,0.5274378093539518,2275.3433973176393,4916.370453924051,2375.369332477315
0.11,0.56,0.32999999999999996,1000.0,0.9538490824597904,0.6595984205501411,1878.073671980321,6096.6422221153525,1554.1501598547527
0.11,0.56,0.32999999999999996,2000.0,0.9515216102910692,0.7211460285129039,1756.5066171465069,6649.623280191598,1101.8078890483657
0.11,0.56,0.32999999999999996,4000.0,0.94995082986372,0.7640650743175609,1662.3476942346804,7034.721940626493,796.816353359504
0.11,0.78,0.10999999999999999,1000.0,0.947743033920426,0.8258981036657742,1516.9419148925595,7588.990751564366,368.2975677927524
0.11,0.78,0.10999999999999999,2000.0,0.9471492634502516,0.8531762355312715,1385.8418714397706,7829.965225706977,253.1830286722358
0.11,0.78,0.10999999999999999,4000.0,0.9467428419890634,0.8751707874558281,1267.3628360127584,8023.587699501486,174.46956919834358
0.33,0.11,0.56,1000.0,0.9967584609456842,4.55e-322,0.0,0.0,9927.051540206648
0.33,0.11,0.56,2000.0,0.9967586623837394,6.1e-322,0.0,0.0,9927.051530870953
0.33,0.11,0.56,4000.0,0.9967587662979248,5.8e-322,0.0,0.0,9927.05152605503
0.33,0.33,0.33999999999999997,1000.0,0.9967586636322692,5.9e-322,0.0,0.0,9927.051530813089
0.33,0.33,0.33999999999999997,2000.0,0.9525507322206636,0.2966894728824063,5240.276560004053,2976.0382505007287,1300.3250053754755
0.33,0.33,0.33999999999999997,4000.0,0.9505920894669644,0.3768214262191912,4893.3295762067155,3686.055239370605,919.616563941006
0.33,0.56,0.10999999999999988,1000.0,0.9476975089733096,0.5058394838069143,4288.840964193239,4826.7486298962185,357.5396503042951
0.33,0.56,0.10999999999999988,2000.0,0.9471478735630828,0.5524044738548415,3983.478756468848,5233.81225028515,250.9990436344586
0.33,0.56,0.10999999999999988,4000.0,0.9467853659656678,0.5857606088214546,3759.206947256651,5525.11040546042,180.79582500758426
0.56,0.11,0.32999999999999996,1000.0,0.9967587798851779,4.74e-322,0.0,0.0,9927.051525425322
0.56,0.11,0.32999999999999996,2000.0,0.9967586463793829,5.24e-322,0.0,0.0,9927.051531612686
0.56,0.11,0.32999999999999996,4000.0,0.9967586654371507,6.03e-322,0.0,0.0,9927.05153072943
0.56,0.33,0.10999999999999988,1000.0,0.9967587228200624,6.03e-322,0.0,0.0,9927.051528070017
0.56,0.33,0.10999999999999988,2000.0,0.9473859538692784,0.21801644792871894,6829.149463497046,2345.2149334042997,295.3781561512212
0.56,0.33,0.10999999999999988,4000.0,0.94692937582461,0.2835520989043833,6343.6024312814625,2915.1758502531798,206.9765493872533
0.78,0.11,0.10999999999999999,1000.0,0.9967586635265294,0.0,0.0,0.0,9927.051530817973
0.78,0.11,0.10999999999999999,2000.0,0.9967589170938332,6.03e-322,0.0,0.0,9927.051519066374
0.78,0.11,0.10999999999999999,4000.0,0.9967586249956886,4e-322,0.0,0.0,9927.051532603697
