l_lim_o2Tpro,l_lim_o2Tneg,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.0,0.9964229611556984,-7.744280757845406e-33,0.0,4.1968793297017974e-68,9959.330658105931
0.0,0.2,0.9964229611556984,-7.744280757845406e-33,0.0,4.1968793297017974e-68,9959.330658105931
0.0,0.4,0.9964229611556982,7.685574425845004e-35,0.0,-8.080165410523241e-66,9959.33065810594
0.0,0.6000000000000001,0.9964229611556948,1.0658983617243217e-27,0.0,-1.711780667648477e-54,9959.33065810626
0.0,0.8,0.9976433461954632,-2.0772690416471116e-40,0.0,-2.861845037414348e-73,9841.98594274392
0.2,0.0,0.9964229611556984,-7.744280757845406e-33,0.0,4.1968793297017974e-68,9959.330658105931
0.2,0.2,0.9964229611556984,-7.744280757845406e-33,0.0,4.1968793297017974e-68,9959.330658105931
0.2,0.4,0.9964229611556982,7.685574425845004e-35,0.0,-8.080165410523241e-66,9959.33065810594
0.2,0.6000000000000001,0.9964229611556948,1.0658983617243217e-27,0.0,-1.711780667648477e-54,9959.33065810626
0.2,0.8,0.9976433461954632,-2.0772690416471116e-40,0.0,-2.861845037414348e-73,9841.98594274392
0.4,0.0,0.9964229611556864,-2.6634615516589196e-31,0.0,3.61427839551724e-48,9959.33065810708
0.4,0.2,0.9964229611556864,-2.6634615516589196e-31,0.0,3.61427839551724e-48,9959.33065810708
0.4,0.4,0.996422961155776,-1.4494195628822332e-26,0.0,2.890912917404006e-56,9959.330658098506
0.4,0.6000000000000001,0.9964229611556984,-9.206170097647783e-40,0.0,-4.0159462054718e-71,9959.330658105937
0.4,0.8,0.9976433461954632,-2.239136202120133e-36,0.0,1.5219341124620705e-70,9841.985942743924
0.6000000000000001,0.0,0.9964229611556966,1.4156524832333347e-32,0.0,3.64301249605721e-63,9959.330658106079
0.6000000000000001,0.2,0.9964229611556966,1.4156524832333347e-32,0.0,3.64301249605721e-63,9959.330658106079
0.6000000000000001,0.4,0.9964229611557022,1.4143355713564534e-29,0.0,8.105130819773231e-50,9959.330658105555
0.6000000000000001,0.6000000000000001,0.9964229611556984,4.524174259889006e-30,0.0,1.0467197325914356e-37,9959.33065810594
0.6000000000000001,0.8,0.9976433461913043,2.077187232376961e-31,0.0,-4.953692716070744e-66,9841.985943141191
0.8,0.0,0.9964229611557489,-7.549279540175487e-26,0.0,3.3575810358566516e-46,9959.330658101067
0.8,0.2,0.9964229611557489,-7.549279540175487e-26,0.0,3.3575810358566516e-46,9959.330658101067
0.8,0.4,0.9964229611556982,-1.864939838643232e-38,0.0,-3.193605753122241e-73,9959.330658105937
0.8,0.6000000000000001,0.9964229611556984,-1.6067178620272189e-34,0.0,-5.773018397765175e-54,9959.33065810594
0.8,0.8,0.9976433461954632,-3.3008402584446237e-43,0.0,1.1788176147982562e-82,9841.98594274392
