l_lim_o2Tneg,u_lim_o2Tneg,o2_eq,Tneg_eq
0.0,0.1,0.02568242050549126,1001.0252029678772
0.0,0.30000000000000004,0.0770159229473664,835.3342532935187
0.0,0.5000000000000001,0.12823030741216304,669.6437308439017
0.0,0.7000000000000001,0.1797712054858754,503.95073910232213
0.0,0.9000000000000001,0.2310711619522799,338.2593819682525
0.2,0.30000000000000004,0.22558835084451226,355.86617097880327
0.2,0.5,0.2769385616843955,190.17292631699158
0.2,0.7,0.32919286330783404,24.48070258342712
0.2,0.8999999999999999,0.3364351833366837,4.045160905137033e-24
0.4,0.5,0.3364971861245484,8.78659169137535e-100
0.4,0.7,0.33649725331884045,8.771769889616167e-100
0.4,0.8999999999999999,0.3364972513143619,8.768808361048903e-100
0.6000000000000001,0.7000000000000001,0.3364972387983173,8.764367838633142e-100
0.6000000000000001,0.9000000000000001,0.3364972387983173,8.764367838633142e-100
0.8,0.9,0.3364972387983173,8.764367838633142e-100
