Tp_initratio,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.1,1000.0,0.6595684481751507,6.1e-322,0.0,0.0,1483.7904641776965
0.1,2000.0,0.6595686538884474,5.5e-322,0.0,0.0,1483.7904403258005
0.1,4000.0,0.6595684146900875,6.03e-322,0.0,0.0,1483.7904680602176
0.30000000000000004,1000.0,0.6595686862520552,6.13e-322,0.0,0.0,1483.7904365733305
0.30000000000000004,2000.0,0.5803999034233858,0.6384055609554334,0.0,5803.686917771116,0.0
0.30000000000000004,4000.0,0.5803999564945682,0.6384055609625131,0.0,5803.686916226945,0.0
0.5000000000000001,1000.0,0.5803999023673114,0.6384055609552926,0.0,5803.686917801846,0.0
0.5000000000000001,2000.0,0.5803999024658362,0.6384055609553053,0.0,5803.686917798975,0.0
0.5000000000000001,4000.0,0.5803999085646572,0.6384055609561201,0.0,5803.686917621529,0.0
0.7000000000000001,1000.0,0.5803999265993873,0.6384055609585263,0.0,5803.686917096789,0.0
0.7000000000000001,2000.0,0.5803999038198626,0.6384055609554861,0.0,5803.686917759576,0.0
0.7000000000000001,4000.0,0.5803999043574434,0.6384055609555586,0.0,5803.686917743942,0.0
0.9000000000000001,1000.0,0.5803999565250911,0.6384055609625192,0.0,5803.686916226071,0.0
0.9000000000000001,2000.0,0.5803999262407573,0.6384055609584777,0.0,5803.686917107223,0.0
0.9000000000000001,4000.0,0.5803999021454762,0.6384055609552631,0.0,5803.686917808303,0.0
