o2-efficiency,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
Caseo2-Null_test-HE,0.9537968119556798,0.37773168984032457,4321.0325614567155,3663.9711402244848,1543.051719978257
Caseo2-HE_test-HE,0.9450669408747308,0.4068147912990613,4700.7337185938895,3948.5482686350483,1341.3347580300156
Caseo2-LE-test-HE,0.9649773515731841,0.3033569111976262,3378.3234779343647,2937.7943609671142,3083.6656430131184
