u_lim_o2Tpos,u_lim_o2Tpro,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.1,0.1,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.1,0.30000000000000004,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.1,0.5000000000000001,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.1,0.7000000000000001,1.0999980485915493,-7.00352112699056e-07,0.11971830985929525,1.208504508053891e-15,0.0
0.1,0.9000000000000001,1.099998048591549,-7.003521052362057e-07,0.11971830952836045,-7.164450613755941e-12,0.0
0.30000000000000004,0.1,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.30000000000000004,0.30000000000000004,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.30000000000000004,0.5000000000000001,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.30000000000000004,0.7000000000000001,1.0999980485915493,-7.00352112699056e-07,0.11971830985929525,1.208504508053891e-15,0.0
0.30000000000000004,0.9000000000000001,1.099998048591549,-7.003521052362057e-07,0.11971830952836045,-7.164450613755941e-12,0.0
0.5000000000000001,0.1,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.5000000000000001,0.30000000000000004,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.5000000000000001,0.5000000000000001,1.0999980485915497,-7.003521132413649e-07,0.11971830978321472,-6.191106598810307e-13,0.0
0.5000000000000001,0.7000000000000001,1.0999980485915493,-7.00352112699056e-07,0.11971830985929525,1.208504508053891e-15,0.0
0.5000000000000001,0.9000000000000001,1.099998048591549,-7.003521052362057e-07,0.11971830952836045,-7.164450613755941e-12,0.0
0.7000000000000001,0.1,1.0999980485915493,-7.003521127456057e-07,0.1197183098602758,1.2218443697881626e-14,0.0
0.7000000000000001,0.30000000000000004,1.0999980485915493,-7.003521127456057e-07,0.1197183098602758,1.2218443697881626e-14,0.0
0.7000000000000001,0.5000000000000001,1.0999980485915493,-7.003521127456057e-07,0.1197183098602758,1.2218443697881626e-14,0.0
0.7000000000000001,0.7000000000000001,1.099998048591552,-7.003521115571446e-07,0.1197183096609399,9.17559511724514e-14,0.0
0.7000000000000001,0.9000000000000001,1.099998048591549,-7.003521130915703e-07,0.1197183098630147,3.613510942439434e-14,0.0
0.9000000000000001,0.1,1.099998048591549,-7.003521107729524e-07,0.11971830987896945,7.124733483626784e-14,0.0
0.9000000000000001,0.30000000000000004,1.099998048591549,-7.003521107729524e-07,0.11971830987896945,7.124733483626784e-14,0.0
0.9000000000000001,0.5000000000000001,1.099998048591549,-7.003521107729524e-07,0.11971830987896945,7.124733483626784e-14,0.0
0.9000000000000001,0.7000000000000001,1.0999980485915493,-7.003521096337331e-07,0.11971830961031192,-5.985241841618146e-12,0.0
0.9000000000000001,0.9000000000000001,1.0999980485915493,-7.00352112678826e-07,0.11971830985917815,2.516253917098866e-16,0.0
