u_lim_testTpos,u_lim_testTpro,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.1,0.1,0.8301694531415672,0.8640247369330158,8293.299998476485,8295.613658260465,0.0
0.1,0.30000000000000004,0.8293345789739471,0.8640246595391146,8293.333040992551,8295.64180944187,0.0
0.1,0.5000000000000001,1.0998750241598931,9.07814756500652e-05,9.194669344033002,1.9194420126778036,0.0
0.1,0.7000000000000001,1.0978055283014452,1.3278549394709865e-05,1.4471056947739969,0.293622617006461,0.0
0.1,0.9000000000000001,1.0990144424896602,9.006712533116107e-06,1.0200724254055242,0.20401006222575724,0.0
0.30000000000000004,0.1,0.83008181370893,0.8640246627422634,8293.302319854012,8295.615626751534,0.0
0.30000000000000004,0.30000000000000004,0.8293076154632866,0.8640246565647567,8293.333958675721,8295.642592044169,0.0
0.30000000000000004,0.5000000000000001,0.8285159824410147,0.8640245848274214,8293.357340930055,8295.662553698541,0.0
0.30000000000000004,0.7000000000000001,0.8295753992227477,0.864024557251987,8293.319485892811,8295.630247034853,0.0
0.30000000000000004,0.9000000000000001,1.0978440889875776,6.0154490437259726e-05,2.1241619524810083,0.7722779666342832,0.0
0.5000000000000001,0.1,0.8292532945897887,0.8640246730506794,8293.332034533554,8295.640973342764,0.0
0.5000000000000001,0.30000000000000004,0.8291217849740324,0.8640245248623486,8293.336779102689,8295.644989000373,0.0
0.5000000000000001,0.5000000000000001,0.828914298592113,0.8640247312870116,8293.346740807363,8295.653514901427,0.0
0.5000000000000001,0.7000000000000001,0.830404471971939,0.8640248302590257,8293.293122900044,8295.607792336585,0.0
0.5000000000000001,0.9000000000000001,0.9769668221090648,0.24837052643522034,4849.607163342301,2695.0249079190953,0.0
0.7000000000000001,0.1,0.8289416322313724,0.8640246413843741,8293.342221467308,8295.649670778768,0.0
0.7000000000000001,0.30000000000000004,0.8287623830158531,0.8640246141950995,8293.348905239587,8295.655360027651,0.0
0.7000000000000001,0.5000000000000001,0.8284543814824029,0.8640245775556914,8293.359426565012,8295.664332285056,0.0
0.7000000000000001,0.7000000000000001,0.8300939505962085,0.8640248330409149,8293.304432110324,8295.617436550345,0.0
0.7000000000000001,0.9000000000000001,0.902089359936356,0.5329577297401451,6859.290787950871,5336.513842330368,0.0
0.9000000000000001,0.1,0.8329448088124405,0.8713845893179601,8061.1360148874155,8328.171397491915,0.0
0.9000000000000001,0.30000000000000004,0.8335375384513498,0.8713847138024937,8061.113418386951,8328.151364779942,0.0
0.9000000000000001,0.5000000000000001,0.8329831286522141,0.8713847145744532,8061.132840021571,8328.168551070474,0.0
0.9000000000000001,0.7000000000000001,0.8311350996985585,0.8713844946589364,8061.192770056051,8328.221328520114,0.0
0.9000000000000001,0.9000000000000001,0.8653387845238936,0.7536555612845678,7233.911728499167,7235.930339123836,0.0
