p_o2,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0001,-0.2294839395040532,0.0,0.0,0.0,743.1781701444589
0.0001623776739188721,-0.228817423371008,0.0,0.0,0.0,743.1781701444589
0.00026366508987303583,-0.2278985957781372,0.0,0.0,0.0,743.1781701444589
0.00042813323987193956,-0.2261078599709494,0.0,0.0,0.0,743.1781701444589
0.0006951927961775605,-0.2233789405735866,0.0,0.0,0.0,743.1781701444589
0.0011288378916846883,-0.2193623269837942,0.0,0.0,0.0,743.1781701444589
0.0018329807108324356,-0.21178905490913075,0.0,0.0,0.0,743.1781701444589
0.002976351441631319,-0.20047409603103086,0.0,0.0,0.0,743.1781701444589
0.004832930238571752,-0.18214889409721946,0.0,0.0,0.0,743.1781701444589
0.007847599703514606,-0.1518863938207611,0.0,0.0,0.0,743.1781701444589
0.012742749857031334,-0.1028865057079005,0.0,0.0,0.0,743.1781701444589
0.0206913808111479,-0.023452522529715025,0.0,0.0,0.0,743.1781701444589
0.03359818286283781,0.10565716615983864,0.0,0.0,0.0,743.2566288602287
0.05455594781168514,0.3152323263030991,0.0,0.0,0.0,743.4123463618968
0.08858667904100823,0.6545240042108336,0.0,0.0,0.0,743.6652003178822
0.14384498882876628,1.2089636211551065,0.0,0.0,0.0,743.9213483146034
0.23357214690901212,2.1082331190546517,0.0,0.0,0.0,743.9213483146034
0.3792690190732246,3.5615463972547268,0.0,0.0,0.0,743.9213483146034
0.615848211066026,5.925193603218912,0.0,0.0,0.0,743.9213483146034
1.0,9.76068002025058,0.0,0.0,0.0,743.9213483146034
