y0_Tpro,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
10.0,0.8849300529964685,8.25e-322,0.0,1.14e-321,0.0
12.742749857031335,0.8849435651290777,6.2e-322,0.0,9.9e-322,0.0
16.237767391887218,0.8849444995164192,7.1e-322,0.0,1.047e-321,0.0
20.6913808111479,0.8849515862048506,6.23e-322,0.0,1.077e-321,0.0
26.366508987303583,0.8848721557192376,6.5e-322,0.0,1.067e-321,0.0
33.59818286283781,0.8852761513193206,5.04e-322,0.0,9.54e-322,0.0
42.81332398719393,0.885276455190152,4.74e-322,0.0,9.73e-322,0.0
54.5559478116852,0.8852863112526629,7.26e-322,0.0,1.02e-321,0.0
69.51927961775606,0.8852637101044982,6e-322,0.0,9.5e-322,0.0
88.58667904100822,0.8853023007924911,6.47e-322,0.0,1.03e-321,0.0
112.88378916846884,0.8853501791931091,6.5e-322,0.0,1.08e-321,0.0
143.8449888287663,0.8863128361734176,4.94e-322,0.0,9.5e-322,0.0
183.29807108324357,0.8863852743343726,5.6e-322,0.0,8.35e-322,0.0
233.57214690901213,0.8862668302346329,3.7e-322,0.0,8e-322,0.0
297.63514416313194,0.8862793686356389,4.9e-322,0.0,9.14e-322,0.0
379.26901907322497,0.8874721957296311,7.16e-322,0.0,1.023e-321,0.0
483.2930238571752,0.8853047189919502,6.5e-322,0.0,1.097e-321,0.0
615.8482110660261,0.8843900432961841,6.8e-322,0.0,9.9e-322,0.0
784.7599703514607,0.8854921159686698,6.4e-322,0.0,9.93e-322,0.0
1000.0,0.8853440065500328,6.3e-322,0.0,9.93e-322,0.0
