mu_testTpos,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
1e-11,1.0999980485915493,-2.9929572927955644e-10,0.11971831001963207,4.1162003622471336e-13,0.0
1.6237767391887243e-11,1.0999980485915497,-4.859895286059648e-10,0.11971830983971073,-1.1016630837580285e-13,0.0
2.6366508987303556e-11,1.0999980485915493,-7.89138499444255e-10,0.119718309832766,-2.3547966656919414e-13,0.0
4.2813323987193956e-11,1.0999980485915493,-1.2813847156041233e-09,0.11971830978128414,-2.0655072298851877e-13,0.0
6.95192796177559e-11,1.0999980485915493,-2.080682653813726e-09,0.11971830986707227,7.590672382190112e-14,0.0
1.1288378916846884e-10,1.099998048591549,-3.37856417600605e-09,0.11971830981192715,-6.573119081911014e-13,0.0
1.8329807108324374e-10,1.0999980485915493,-5.486033797076568e-09,0.11971830987297985,1.8622665099795013e-13,0.0
2.976351441631313e-10,1.0999980485915493,-8.908094112637915e-09,0.11971830986004035,6.302843259157683e-15,0.0
4.832930238571753e-10,1.0999980485915497,-1.4464755953106464e-08,0.11971830985452026,2.5646811112122097e-13,0.0
7.847599703514623e-10,1.0999980485915493,-2.348753424689737e-08,0.1197183099574448,1.7359345901826485e-13,0.0
1.2742749857031322e-09,1.099998048591549,-3.813851189590525e-08,0.11971830986098092,1.0100694313761734e-14,0.0
2.06913808111479e-09,1.099998048591549,-6.19284282942703e-08,0.1197183099606318,2.0132024560070657e-12,0.0
3.359818286283788e-09,1.0999980485915468,-1.0055794430234847e-07,0.11971830958645276,-1.0941831287412585e-11,0.0
5.455594781168515e-09,1.0999980485915497,-1.6328365337050662e-07,0.11971831069902862,-4.4508695236606096e-11,0.0
8.858667904100832e-09,1.0999980485915493,-2.6513618778298676e-07,0.1197183098249721,-4.1407336807479206e-13,0.0
1.438449888287663e-08,1.0999980485915493,-4.305219733019127e-07,0.119718309815203,-1.4995135796968192e-13,0.0
2.3357214690901214e-08,1.0999980485915497,-6.990715664201135e-07,0.1197183097830148,-4.463806205878829e-13,0.0
3.792690190732246e-08,1.0999980485915246,-1.1351361450262551e-06,0.11971830937258167,-2.7078463271473022e-11,0.0
6.158482110660254e-08,1.0999980485915493,-1.8432076729398399e-06,0.11971830978772913,-4.126261144497017e-13,0.0
1e-07,1.099998048591549,-2.992957749239362e-06,0.11971831008266727,5.953059846828132e-13,0.0
