Case,lltestTpro,ultestTpro,llo2Tpro,ulo2Tpro,lltestTpos,ultestTpos,llo2Tpos,ulo2Tpos,llo2Tneg,ulo2Tneg,p_o2
1.1,0,0.1,0,1,0,0.05,0,1,0,1,0.11
2.1,0,0.3,0,0.5,0,0.1,0,0.5,0.6,1,0.11
3.1,0,1,0,1,0,0.8,0,1,0,1,0.11
4.1,0,0.3,0,1,0,0.1,0,1,0,1,0.11
5.1,0,0.3,0,1,0,0.1,0,1,0.6,1,0.0675
6.1,0,0.1,0,0.5,0,0.05,0,0.5,0.8,1,0.11
7.1,0,0.1,0,1,0,0.05,0,1,0.6,1,0.0675
8.1,0,1,0,0.5,0,0.8,0,0.5,0.8,1,0.11
9.1,0,1,0,1,0,0.8,0,1,0.6,1,0.0675
1.2,0,0.1,0,1,0,0.3,0,1,0,1,0.11
2.2,0,0.3,0,0.5,0,0.5,0,0.5,0.6,1,0.11
3.2,0,1,0,1,0,1.1,0,1,0,1,0.11
4.2,0,0.3,0,1,0,0.5,0,1,0,1,0.11
5.2,0,0.3,0,1,0,0.5,0,1,0.6,1,0.0675
6.2,0,0.1,0,0.5,0,0.3,0,0.5,0.8,1,0.11
7.2,0,0.1,0,1,0,0.3,0,1,0.6,1,0.0675
8.2,0,1,0,0.5,0,1.1,0,0.5,0.8,1,0.11
9.2,0,1,0,1,0,1.1,0,1,0.6,1,0.0675
