Case,CaseA,lltestTpro,ultestTpro,llo2Tpro,ulo2Tpro,lltestTpos,ultestTpos,llo2Tpos,ulo2Tpos,1:1outcome,Tp test limitation,Tp o2 limitation,T+ test limitation,T+ o2 limitation
7,AAAA,0,0.1,0,1,0,0.1,0,1,NA,No,No,No,No
1,AAAB,0,0.3,0,1,0,0.1,0,1,Both extinct,Moderate ,No,No,No
8,AAAC,0,1,0,1,0,0.1,0,1,NA,Severe,No,No,No
2,AABA,0,0.1,0,1,0,0.3,0,1,Coexist,No,No,Moderate ,No
9,AABB,0,0.3,0,1,0,0.3,0,1,NA,Moderate ,No,Moderate ,No
10,AABC,0,1,0,1,0,0.3,0,1,NA,Severe,No,Moderate ,No
11,AACA,0,0.1,0,1,0,1,0,1,NA,No,No,Severe,No
12,AACB,0,0.3,0,1,0,1,0,1,NA,Moderate ,No,Severe,No
13,AACC,0,1,0,1,0,1,0,1,NA,Severe,No,Severe,No
14,ABAA,0,0.1,0.4,1,0,0.1,0,1,NA,No,Moderate ,No,No
15,ACAA,0,0.1,0.8,1,0,0.1,0,1,NA,No,Severe,No,No
16,BAAA,0,0.1,0,1,0,0.1,0.4,1,NA,No,No,No,Moderare
17,BBAA,0,0.1,0.4,1,0,0.1,0.4,1,NA,No,Moderate ,No,Moderare
18,BCAA,0,0.1,0.8,1,0,0.1,0.4,1,NA,No,Severe,No,Moderare
19,CAAA,0,0.1,0,1,0,0.1,0.8,1,NA,No,No,No,Severe
20,CBAA,0,0.1,0.4,1,0,0.1,0.8,1,NA,No,Moderate ,No,Severe
21,CCAA,0,0.1,0.8,1,0,0.1,0.8,1,NA,No,Severe,No,Severe
22,ABAB,0,0.3,0.4,1,0,0.1,0,1,NA,Moderate ,Moderate ,No,No
23,ABBA,0,0.1,0.4,1,0,0.3,0,1,NA,No,Moderate ,Moderate ,No
24,ABBB,0,0.3,0.4,1,0,0.3,0,1,NA,Moderate ,Moderate ,Moderate ,No
25,BAAB,0,0.3,0,1,0,0.1,0.4,1,NA,Moderate ,No,No,Moderare
26,BABA,0,0.1,0,1,0,0.3,0.4,1,NA,No,No,Moderate ,Moderare
27,BABB,0,0.3,0,1,0,0.3,0.4,1,NA,Moderate ,No,Moderate ,Moderare
28,BBAB,0,0.3,0.4,1,0,0.1,0.4,1,NA,Moderate ,Moderate ,No,Moderare
29,BBBA,0,0.1,0.4,1,0,0.3,0.4,1,NA,No,Moderate ,Moderate ,Moderare
30,BBBB,0,0.3,0.4,1,0,0.3,0.4,1,NA,Moderate ,Moderate ,Moderate ,Moderare
3,,0,1,0.4,1,0,1,0.6,1,Coexist,Severe,Moderate ,Severe,High
4,,0,1,0,1,0,1,0.6,1,Tpos extinct,Severe,No,Severe,High
