t,y1,y2
0.0,10.0,0.0
0.1,12.547831082512271,-0.10520653921227849
0.2,15.706620653545382,-0.22099974476346146
0.30000000000000004,19.752254212551232,-0.3490125656560704
0.4,24.97291164148703,-0.49092145014586785
0.5,31.44372394061135,-0.6463415333960671
0.6000000000000001,39.77937542874131,-0.8188305686531534
0.7000000000000001,50.46316284185047,-1.0099855918501202
0.8,63.9373210557097,-1.2202283123143216
0.9,80.95186984964282,-1.4515863228522934
1.0,102.36548202607102,-1.7056960066833895
1.1,128.84880694765954,-1.9818415092656951
1.2000000000000002,160.73164876779344,-2.277154829317124
1.3,204.5344159060668,-2.6224533878651948
1.4000000000000001,257.8905920707156,-2.991905735726075
1.5,320.73335090514854,-3.3795279532701215
1.6,393.93044593260834,-3.784220985075108
1.7000000000000002,484.02355899947395,-4.225624997513036
1.8,579.1198845580849,-4.655291280006896
1.9000000000000001,680.0319222923875,-5.077067887946297
2.0,806.3784890538809,-5.5530616648335736
2.1,941.4997146202054,-6.024721809446206
2.2,1018.7366436084324,-6.325144380606473
2.3000000000000003,1135.3666508705908,-6.716350118225542
2.4000000000000004,1268.6376484074171,-7.134482938118994
2.5,1461.450881572091,-7.669906534681675
2.6,1594.3690674325053,-8.056543462420949
2.7,1785.2277859566755,-8.547377189268328
2.8000000000000003,1945.9180970713342,-8.955991959328998
2.9000000000000004,2135.097261546024,-9.39783411886678
3.0,2253.072401144837,-9.709151294601337
3.1,2512.0050147264365,-10.257072020590433
3.2,2385.2121854084817,-10.147230459446247
3.3000000000000003,2390.825657182164,-10.248186666352808
3.4000000000000004,2598.6864385625236,-10.71148260767801
3.5,2616.8849917221223,-10.839985248361291
3.6,2714.7065809276296,-11.112672359403135
3.7,2789.948493316223,-11.339040415554567
3.8000000000000003,2436.9256211179904,-10.828989766263527
3.9000000000000004,2539.3831351758427,-11.122686511781085
4.0,2658.857445373591,-11.430219405847051
4.1000000000000005,2810.7059529486537,-11.782565570221601
4.2,2595.5403550077535,-11.531743228589491
4.3,1939.5467539869624,-10.35026277931377
4.4,2052.328681737509,-10.699920268550928
4.5,2120.3308827328033,-10.957297381301098
4.6000000000000005,2190.243102567535,-11.210598701678906
4.7,2073.4298190262894,-11.053887407955884
4.800000000000001,2151.3555161458016,-11.324924319123232
4.9,2248.6959027322027,-11.63431246002022
5.0,2362.446754401832,-11.9737960375391
5.1000000000000005,2078.5115327574044,-11.443588091841232
5.2,2049.8722975633023,-11.492672424965878
5.300000000000001,2106.800498191029,-11.72291511960942
5.4,1952.109345808405,-11.450514820270598
5.5,2122.030337852347,-11.961518092039686
5.6000000000000005,2127.782728683697,-12.0872430033208
5.7,2233.5865648979952,-12.41805891782583
5.800000000000001,2298.7344284652977,-12.680451206687115
5.9,2154.7984570715603,-12.438968967153786
6.0,2130.7274032521955,-12.451065023415557
6.1000000000000005,2147.220074516872,-12.589074642718385
6.2,2416.6175070993836,-13.323391299472823
6.300000000000001,2221.3962695874657,-12.965385117973243
6.4,2185.2058459411896,-12.981822453451432
6.5,2306.536532228462,-13.36212163196591
6.6000000000000005,2473.8418169320685,-13.855917290084086
6.7,2544.0528780959316,-14.11307934084814
6.800000000000001,2661.5498301484836,-14.48001358163104
6.9,2608.526727967104,-14.429894361463226
7.0,2542.424632356262,-14.380769184703889
7.1000000000000005,2129.712420449809,-13.475181181970777
7.2,2315.010426474742,-14.047135882288567
7.300000000000001,2354.536616100935,-14.267293064418748
7.4,2310.7171667471516,-14.263723691743778
7.5,2150.3972758111245,-13.952145016369963
7.6000000000000005,2258.1656968500056,-14.315150113863078
7.7,2279.8194171616115,-14.467886009416587
7.800000000000001,2084.2016003480326,-14.045609579922491
7.9,2269.612203456411,-14.647430402555687
8.0,2397.370296988538,-15.096338281168943
8.1,1973.245099726313,-14.181973022287691
8.200000000000001,2208.0476070048057,-14.958217066001236
8.3,2200.3137455037754,-15.035190972317384
8.4,2144.7143485389192,-14.979640963979856
8.5,2052.209298799596,-14.811664267881966
8.6,2152.533251599058,-15.20287413707192
8.700000000000001,2286.2793977230153,-15.677151818547452
8.8,2247.8004315668372,-15.68466303494938
8.9,2105.8191448245225,-15.369773241019885
9.0,1895.0199432947963,-14.817257964211834
9.1,1870.7512375164683,-14.821321774767403
9.200000000000001,1825.5108437342255,-14.73600196738032
9.3,2034.2769590440078,-15.509406358930326
9.4,2188.8641424792736,-16.07912856028017
9.5,2173.3561976091805,-16.14961213046589
9.600000000000001,2182.52338801194,-16.285640620750673
9.700000000000001,2406.6929959846852,-17.056063058803375
9.8,2521.518069668204,-17.493938609808303
9.9,2549.8814351515634,-17.68034331295815
10.0,2573.379273269816,-17.83540075900668
10.100000000000001,2302.472672262027,-17.161257369624916
10.200000000000001,2190.2687996447075,-16.893731457757752
10.3,2233.6171773791066,-17.121249129482994
10.4,2401.8235032830116,-17.741504950248316
10.5,2380.6276301529,-17.76929298776713
10.600000000000001,1914.7547548259097,-16.39668712458759
10.700000000000001,2103.1423599444956,-17.151173014598193
10.8,2134.186269524104,-17.364082418288
10.9,2230.3409324298627,-17.780642761525762
11.0,2252.717953919696,-17.96604171181781
11.100000000000001,2175.4591729921535,-17.828730425369347
11.200000000000001,2347.6344887009004,-18.496437287302342
11.3,2291.0231014401443,-18.410013390986485
11.4,2373.310373444785,-18.77888742839377
11.5,2281.3909639547833,-18.596790972238406
11.600000000000001,2283.8677638809772,-18.716352940466106
11.700000000000001,2498.0657778419213,-19.52093091419864
11.8,2323.619248341139,-18.88912177092099
11.9,2133.8377231723116,-18.326534426087072
12.0,2174.55406758121,-18.57464533763906
12.100000000000001,2365.495010637857,-19.333117528611144
12.200000000000001,2325.648839549154,-19.288272810269245
12.3,2343.5738835807165,-19.485001853573824
12.4,2337.2706889055135,-19.5555477423777
12.5,2251.0891798447856,-19.317791623669404
12.600000000000001,2310.999429395762,-19.62111699573641
12.700000000000001,2351.208180329195,-19.846630629250228
12.8,2229.9831355185343,-19.53255901243323
12.9,2428.6884057752563,-20.332380874461084
13.0,2402.3251575535614,-20.337636044171713
