Case,lltestTpro,ultestTpro,llo2Tpro,ulo2Tpro,llo2Tneg,ulo2Tneg,Tpro-Tneg_case,Tpro-Tneg_outcome
1.1,0,0.1,0,1,0,1,1,Coexist
1.2,0,0.1,0.4,1,0,1,1,Coexist?
2.1,0,0.3,0,0.5,0.6,1,2,Coexist
2.2,0,0.3,0.4,0.5,0.6,1,2,Coexist?
3.1,0,1,0,1,0,1,3,Tpro extinct
3.2,0,1,0.4,1,0,1,3,Tpro extinct/?
4.1,0,0.3,0,1,0,1,4,Tpro extinct
4.2,0,0.3,0.4,1,0,1,4,Tpro extinct
6.1,0,0.1,0,0.5,0.8,1,6,Tneg almost extinct
6.2,0,0.1,0.4,0.5,0.8,1,6,Tneg almost extinct
