Tp_initratio,Totcell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.1,1000.0,1.0989705819026985,0.0006307781849904914,54.52998430576422,8.634435305625013,0.0
0.1,2000.0,1.0970767806805732,0.0017948166353766593,154.78920642474964,24.550025180072346,0.0
0.1,4000.0,1.093398112296894,0.004056184506319993,349.5605284451251,55.469043734266386,0.0
0.30000000000000004,1000.0,0.9504912621406244,0.2146402885139776,6856.367518545565,2315.9477085766957,0.0
0.30000000000000004,2000.0,0.9504906829286616,0.2362927808400174,6669.500331774395,2502.852697746391,0.0
0.30000000000000004,4000.0,0.9504899539984454,0.2591394789462805,6472.327217924424,2700.06596209225,0.0
0.5000000000000001,1000.0,0.9504854111837642,0.4149320265548921,5127.8072654339785,4044.866916164566,0.0
0.5000000000000001,2000.0,0.9504845427933266,0.4436490669696239,4879.975868128271,4292.7515321953215,0.0
0.5000000000000001,4000.0,0.9504836407583056,0.47272642381554403,4629.0356317441165,4543.746121139355,0.0
0.7000000000000001,1000.0,0.9504786061401546,0.6338424163557492,3238.6037652395144,5934.487915542862,0.0
0.7000000000000001,2000.0,0.9504777389111224,0.6607641945258255,3006.271036512212,6166.873929025409,0.0
0.7000000000000001,4000.0,0.9504766989230864,0.6867818110344588,2781.741814651214,6391.455076842278,0.0
0.9000000000000001,1000.0,0.9504705064256443,0.8765765981212935,1143.853745273086,8029.7348542011905,0.0
0.9000000000000001,2000.0,0.9504699169711812,0.8895845405808578,1031.5993760275544,8142.016945055392,0.0
0.9000000000000001,4000.0,0.95046947645765,0.9014914837065188,928.8464361729635,8244.795356077082,0.0
