,po2,r_Tneg,o2_eq,Tneg_eq
0,1000.0,0.001,10005.87962628557,6.331286531325016e-286
1,1000.0,0.0027825594022071257,10005.880603484653,9.5e-322
2,1000.0,0.007742636826811269,10005.888341489852,5e-322
3,1000.0,0.021544346900318832,10005.857755005185,3.2e-322
4,1000.0,0.05994842503189409,9983.99127551879,-5e-324
5,1000.0,0.1668100537200059,10000.000000000058,8.709617810653082e-07
6,1000.0,0.46415888336127775,10000.0,-1.0355374333713964e-07
7,1000.0,1.2915496650148828,10000.0,1.974921501754827e-07
8,1000.0,3.593813663804626,10000.0,-3.5417287036197184e-07
9,1000.0,10.0,9999.999999999987,-1.0811681100316073e-06
10,2154.4346900318847,0.001,21569.23561256132,9.743107147265403e-108
11,2154.4346900318847,0.0027825594022071257,21569.204702509283,3.335e-321
12,2154.4346900318847,0.007742636826811269,21569.17975959248,3.95e-322
13,2154.4346900318847,0.021544346900318832,21545.624640092552,2.5e-322
14,2154.4346900318847,0.05994842503189409,21530.225207757056,1.6e-322
15,2154.4346900318847,0.1668100537200059,21539.999999999676,-5.098132441952144e-07
16,2154.4346900318847,0.46415888336127775,21540.00000000001,4.923656577165585e-07
17,2154.4346900318847,1.2915496650148828,21540.000000000007,1.8405138459048412e-06
18,2154.4346900318847,3.593813663804626,21540.0,-6.061628301578356e-07
19,2154.4346900318847,10.0,21539.99999999998,6.779002469068781e-07
20,4641.588833612777,0.001,28538.383793142577,510713192.9254453
21,4641.588833612777,0.0027825594022071257,40514.895449217096,168167613.68355516
22,4641.588833612777,0.007742636826811269,44791.19209336801,45066069.61267392
23,4641.588833612777,0.021544346900318832,46418.532576518184,727732.9678894579
24,4641.588833612777,0.05994842503189409,46379.745519337615,2.58e-321
25,4641.588833612777,0.1668100537200059,46393.34269095571,9.2e-322
26,4641.588833612777,0.46415888336127775,46346.284873044715,4.5e-322
27,4641.588833612777,1.2915496650148828,46409.21533082066,5.4e-323
28,4641.588833612777,3.593813663804626,46454.06877162222,-1.3487468339733762e-06
29,4641.588833612777,10.0,46409.99999999999,-5.264037090515737e-07
30,10000.0,0.001,28503.94199007544,2041872434.403154
31,10000.0,0.0027825594022071257,40567.143007645136,1699257063.768249
32,10000.0,0.007742636826811269,44854.62112530466,1576130548.4306848
33,10000.0,0.021544346900318832,46337.73362016748,1531976405.846647
34,10000.0,0.05994842503189409,46949.05054480692,1516203450.2751427
35,10000.0,0.1668100537200059,47236.11481917083,1505140688.300444
36,10000.0,0.46415888336127775,47208.66480396236,1506160956.8633065
37,10000.0,1.2915496650148828,47149.06244405517,1512865042.051481
38,10000.0,3.593813663804626,47193.69292276629,1511299633.2798743
