rho_Tneg,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
3162.2776601683795,0.5127022628866577,0.0,0.0,0.0,1204.986483130892
4281.332398719395,0.4454190388130703,0.0,0.0,0.0,1419.5527026062225
5796.393953384967,0.3784422781113027,0.0,0.0,0.0,1634.5630524077524
7847.599703514615,0.3159284220644196,0.0,0.0,0.0,1840.435822327302
10624.678308940409,0.25664476643992323,0.0,0.0,0.0,2029.3007369913119
14384.498882876629,0.20500132202203195,0.0,0.0,0.0,2195.730627770024
19474.830399087572,0.16152910325844425,0.0,0.0,0.0,2337.27597414212
26366.508987303554,0.1252744070143445,0.0,0.0,0.0,2454.164357656324
35696.98846826063,0.09604085372529148,0.0,0.0,0.0,2548.290607360407
48329.30238571752,0.07304125552773515,0.0,0.0,0.0,2622.584343740045
65431.89129712969,0.05512817878919368,0.0,0.0,0.0,2680.304350295852
88586.67904100832,0.041385461267529115,0.0,0.0,0.0,2724.5978700581572
119935.39462092356,0.030898893264439325,0.0,0.0,0.0,2758.2857649638045
162377.67391887208,0.02301486045674714,0.0,0.0,0.0,2783.706624981623
219839.26488622892,0.01713413327065071,0.0,0.0,0.0,2802.7610593198456
297635.14416313195,0.012726218595571015,0.0,0.0,0.0,2817.0123682946337
402961.1320200396,0.009435046169291509,0.0,0.0,0.0,2827.6417231962987
545559.4781168514,0.006990364331847475,0.0,0.0,0.0,2835.519767662037
738619.9822079359,0.005171908133722123,0.0,0.0,0.0,2841.380985568711
1000000.0,0.0038259544911428546,0.0,0.0,0.0,2845.718821784065
