p_o2-new,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
100.0,0.01516627243765365,0.0,0.0,0.0,3225774.4512913562
200.0,0.02984450949499764,0.0,0.0,0.0,6451513.7337021725
300.0,0.04733218574108517,0.0,0.0,0.0,9677235.103095736
400.0,0.06172712795108715,0.0,0.0,0.0,12903088.462968025
500.0,0.07536066922698736,0.0,0.0,0.0,16128725.35965955
600.0,0.08994614303325559,0.0,0.0,0.0,19354631.76022772
700.0,0.10592240030952392,0.0,0.0,0.0,22580567.31863737
800.0,0.12141160569618176,0.0,0.0,0.0,25806378.392023146
900.0,0.1367532591255794,0.0,0.0,0.0,29032000.210278016
1000.0,0.15683973335109067,0.0,0.0,0.0,32257752.15787504
