l_lim_o2Tneg,u_lim_o2Tneg,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.1,0.42443901571063664,0.0,0.0,0.0,1487.0995184590624
0.0,0.30000000000000004,0.42443901571063664,0.0,0.0,0.0,1487.0995184590624
0.0,0.5000000000000001,0.4605162845876197,0.0,0.0,0.0,1371.0872284539498
0.0,0.7000000000000001,0.5344867400077178,0.0,0.0,0.0,1134.9698247008125
0.0,0.9000000000000001,0.5867738812713885,0.0,0.0,0.0,968.2631550566645
0.2,0.30000000000000004,0.42443901571063664,0.0,0.0,0.0,1487.0995184590624
0.2,0.5,0.4696614897356209,0.0,0.0,0.0,1340.605770935867
0.2,0.7,0.5565698847124387,0.0,0.0,0.0,1061.6850079078913
0.2,0.8999999999999999,0.613167449342056,0.0,0.0,0.0,878.8856943340812
0.4,0.5,0.48628384803879404,0.0,0.0,0.0,1288.057711580428
0.4,0.7,0.5917903520340151,0.0,0.0,0.0,949.8653543819009
0.4,0.8999999999999999,0.6537933612900976,0.0,0.0,0.0,752.2783043605342
0.6000000000000001,0.7000000000000001,0.6503608854319789,0.0,0.0,0.0,758.5056042662449
0.6000000000000001,0.9000000000000001,0.7129679435937699,0.0,0.0,0.0,559.1980042361704
0.8,0.9,0.8146029522343584,0.0,0.0,0.0,228.981696593109
