l_lim_o2Tneg,u_lim_o2Tneg,o2_eq,Tneg_eq
0.0,0.1,0.6544863423590284,743.9213483146034
0.0,0.30000000000000004,0.6544863423590284,743.9213483146034
0.0,0.5000000000000001,0.6544863423590284,743.9213483146034
0.0,0.7000000000000001,0.6546516908325315,743.8739999515898
0.0,0.9000000000000001,0.6546547228457636,743.7194108485161
0.2,0.30000000000000004,0.6544863423590284,743.9213483146034
0.2,0.5,0.6544863423590284,743.9213483146034
0.2,0.7,0.6547508593832317,743.8550686897931
0.2,0.8999999999999999,0.6547177137317571,743.6617331920751
0.4,0.5,0.6544863423590284,743.9213483146034
0.4,0.7,0.6550213810823788,743.8109132428789
0.4,0.8999999999999999,0.6548433604525435,743.5579343297916
0.6000000000000001,0.7000000000000001,0.6559061093121168,743.5905228749655
0.6000000000000001,0.9000000000000001,0.6551756954349549,743.3158413106696
0.8,0.9,0.6547165310166446,743.1781701444589
