l_lim_o2Tneg,u_lim_o2Tneg,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.1,0.9943954361342492,0.0,0.0,0.0,9959.330658105886
0.0,0.30000000000000004,0.9943954361342492,0.0,0.0,0.0,9959.330658105886
0.0,0.5000000000000001,0.9943954361342492,0.0,0.0,0.0,9959.330658105886
0.0,0.7000000000000001,0.99439543726456,0.0,0.0,0.0,9959.330658105886
0.0,0.9000000000000001,0.9943954374539165,0.0,0.0,0.0,9959.330658105886
0.2,0.30000000000000004,0.9943954361342492,0.0,0.0,0.0,9959.330658105886
0.2,0.5,0.9943954361342492,0.0,0.0,0.0,9959.330658105886
0.2,0.7,0.9943954384549224,0.0,0.0,0.0,9959.330658105886
0.2,0.8999999999999999,0.9943954391799058,0.0,0.0,0.0,9959.330658105886
0.4,0.5,0.9943954361342492,0.0,0.0,0.0,9959.330658105886
0.4,0.7,0.9943954342594826,0.0,0.0,0.0,9959.330658105886
0.4,0.8999999999999999,0.9943954216903412,0.0,0.0,0.0,9959.330658105886
0.6000000000000001,0.7000000000000001,0.9953541952997024,0.0,0.0,0.0,9959.330658105886
0.6000000000000001,0.9000000000000001,0.9954865136624654,0.0,0.0,0.0,9959.330658105886
0.8,0.9,0.9943979255895972,0.0,0.0,0.0,9959.330658105886
