l_lim_o2Tneg,u_lim_o2Tneg,o2_eq,Tneg_eq
0.0,0.1,0.4246689748166819,1486.356340288918
0.0,0.30000000000000004,0.4246689748166819,1486.356340288918
0.0,0.5000000000000001,0.4479685837887583,1410.2853508426197
0.0,0.7000000000000001,0.4934337826135319,1266.8752569606074
0.0,0.9000000000000001,0.5221391761173774,1174.2170968309958
0.2,0.30000000000000004,0.4246689748166819,1486.356340288918
0.2,0.5,0.4576957617641317,1381.5959713428908
0.2,0.7,0.5124525819041118,1206.774387535682
0.2,0.8999999999999999,0.5427691016374064,1107.1200277905016
0.4,0.5,0.4763949384675578,1318.227353596478
0.4,0.7,0.5443167461816952,1101.3635974946878
0.4,0.8999999999999999,0.5758412487713653,1003.2718394801536
0.6000000000000001,0.7000000000000001,0.6158117070014951,868.4154902023404
0.6000000000000001,0.9000000000000001,0.6310531225400078,821.1366064694565
0.8,0.9,0.6547990194275509,743.1781701444589
