t,y1,y2
0.0,10.0,0.0
0.1,11.42437114024154,-0.1051495458680512
0.2,13.050554316103872,-0.2211360231130034
0.30000000000000004,14.954602819554738,-0.3494849043567849
0.4,17.14695000624537,-0.49109615645127236
0.5,19.697889171078685,-0.647904370406751
0.6000000000000001,22.653973928967464,-0.8212604473202815
0.7000000000000001,26.0556117549499,-1.0123541021986673
0.8,29.988804554425116,-1.2234499397911345
0.9,34.5398724350444,-1.4567179646248158
1.0,39.79521598047194,-1.7141759263334313
1.1,45.91304627394538,-1.9997988999304366
1.2000000000000002,52.93579441936443,-2.313798443762257
1.3,60.93762423546941,-2.6571090968526545
1.4000000000000001,70.13701307330473,-3.0347846604174578
1.5,80.76915657589626,-3.4519124184350947
1.6,93.21545079128774,-3.916981777502492
1.7000000000000002,107.21020583025823,-4.41972557127271
1.8,123.54921016321269,-4.9795934325334255
1.9000000000000001,142.05740983748206,-5.5879876354000775
2.0,163.08651572797723,-6.250798216332372
2.1,187.660634545563,-6.989795923022504
2.2,214.97098984808477,-7.779957229679642
2.3000000000000003,238.1767795406056,-8.455004588487988
2.4000000000000004,272.0107142493865,-9.36555135241151
2.5,312.6858738399956,-10.411170347787785
2.6,352.9061113876033,-11.41967171202619
2.7,401.6547616072156,-12.586064021045187
2.8000000000000003,460.44467257581243,-13.927401213755898
2.9000000000000004,522.2865968969792,-15.290421446334488
3.0,597.0326486312321,-16.86487779988839
3.1,682.0235871823295,-18.5809621616266
3.2,773.9076848099085,-20.370263918660378
3.3000000000000003,867.270808856926,-22.130804086011054
3.4000000000000004,956.8489180806325,-23.776096860975724
3.5,1081.9659915391135,-25.967206135738582
3.6,1197.3310961017091,-27.937583154379517
3.7,1356.4381404631636,-30.535800512544355
3.8000000000000003,1522.7491239163392,-33.17718715797842
3.9000000000000004,1686.330209837011,-35.68341809791307
4.0,1864.9523801607309,-38.33657321189149
4.1000000000000005,1960.0160800979065,-39.762978561097434
4.2,2130.9237126174303,-42.22350958898228
4.3,2327.2167764217825,-44.95434615748794
4.4,2510.9291318668625,-47.46171629996339
4.5,2596.806215127996,-48.67050891426073
4.6000000000000005,2760.944558474409,-50.88473594636507
4.7,2866.5569600995073,-52.32841336099455
4.800000000000001,2953.168886121497,-53.48902643905937
4.9,3071.381356332163,-55.02778480118229
5.0,3195.0204384375547,-56.64193783100516
5.1000000000000005,3215.5157882739686,-56.89538809765326
5.2,3270.151402037727,-57.67469635226781
5.300000000000001,3440.502349708399,-59.80685475092383
5.4,3582.497183108306,-61.581048030030715
5.5,3666.234726464256,-62.67610060061119
5.6000000000000005,3429.959828807292,-59.965864040262694
5.7,3599.4854719833475,-62.021035561445046
5.800000000000001,3698.1307320673504,-63.27330685108898
5.9,3720.4000188684986,-63.62982859063331
6.0,3839.012703012099,-65.11283115919689
6.1000000000000005,3745.6397815476043,-64.14185888251231
6.2,3764.5555292435706,-64.48202881764162
6.300000000000001,3796.3251804434094,-64.91602369073773
6.4,3877.210955376607,-65.94737158511857
6.5,3912.9379810884348,-66.44217857302549
6.6000000000000005,4043.11029211453,-68.0645561214898
6.7,3814.0796401853318,-65.5187008899196
6.800000000000001,3914.5035184209737,-66.790854838154
6.9,3992.242340878729,-67.78957401371596
7.0,4020.0866353624165,-68.22478913253445
7.1000000000000005,4153.096741015828,-69.80671536928155
7.2,4274.303798181799,-71.22009658142882
7.300000000000001,4417.340678932857,-72.9562843987126
7.4,4410.44336357756,-72.97463740004717
7.5,4448.807552254182,-73.48495234772703
7.6000000000000005,4449.954577422937,-73.5878139229948
7.7,4461.548253731839,-73.80958283633578
7.800000000000001,4461.2778791230085,-73.89084282043262
7.9,4319.329157224515,-72.41676890614741
8.0,4347.782150764971,-72.8517444049332
8.1,4442.612352787247,-73.9969549555087
8.200000000000001,4302.263219800293,-72.44515047409784
8.3,4364.79665393607,-73.2828982147826
8.4,4231.421514234543,-71.80253836593678
8.5,4076.800444543554,-70.08689896389784
8.6,3886.131301985679,-67.87875358040684
8.700000000000001,3829.852107141283,-67.28638200351654
8.8,3917.559778004256,-68.43150481235168
8.9,3802.4836940940577,-66.78719195521124
9.0,3923.4215457706405,-68.30866001913603
9.1,3987.0843597972284,-69.16880089457449
9.200000000000001,3871.8754211078,-67.9172042199169
9.3,3907.2286301967124,-68.46498492490907
9.4,3834.8323866622527,-67.66501020581818
9.5,4063.8874011297394,-70.2834653642442
9.600000000000001,3908.776738329457,-68.50800011804105
9.700000000000001,4077.490523156712,-70.69753152486062
9.8,3919.5083325863143,-68.91257969901388
