O2_Eff,Test_Eff,TotCell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
o2_Null,test_HE,1000,0.9967587274419698,5.9e-322,0.0,0.0,9927.051527855809
o2_Null,test_HE,2000,0.9537968119556798,0.37773168984032457,4321.0325614567155,3663.9711402244848,1543.051719978257
o2_Null,test_HE,4000,0.951101522423948,0.4259165004102031,4379.692342543648,4105.0909656200765,1018.9029342527181
o2_Null,test_LE,1000,0.9967586646149631,5.93e-322,0.0,0.0,9927.05153076754
o2_Null,test_LE,2000,0.9967586636329476,3.3e-322,0.0,0.0,9927.051530813056
o2_Null,test_LE,4000,0.9967589107232836,5.83e-322,0.0,0.0,9927.05151936162
o2_HE,test_HE,1000,0.9541041585603448,0.3192513973625595,4013.997457260437,3116.09209194132,2853.4209671447948
o2_HE,test_HE,2000,0.9450669408747308,0.4068147912990613,4700.7337185938895,3948.5482686350483,1341.3347580300156
o2_HE,test_HE,4000,0.942458305929904,0.454162587773939,4708.109514113631,4379.33515818465,905.4423042251829
o2_HE,test_LE,1000,0.9964229608113924,6e-322,0.0,0.0,9959.330658105906
o2_HE,test_LE,2000,0.9964229621122048,4.25e-322,0.0,0.0,9959.330658105906
o2_HE,test_LE,4000,0.9964229604734842,6e-322,0.0,0.0,9959.330658105906
o2_LE,test_HE,1000,0.9969495260532556,6.1e-322,0.0,0.0,9908.699890075648
o2_LE,test_HE,2000,0.9649773515731841,0.3033569111976262,3378.3234779343647,2937.7943609671142,3083.6656430131184
o2_LE,test_HE,4000,0.9583402709419704,0.3837310755010872,3927.3680189087404,3697.5940693104144,1670.4747528775886
o2_LE,test_LE,1000,0.99694941793575,6.13e-322,0.0,0.0,9908.699898429544
o2_LE,test_LE,2000,0.9969495206945426,6.13e-322,0.0,0.0,9908.699890489695
o2_LE,test_LE,4000,0.9969497028113457,6.13e-322,0.0,0.0,9908.699876418072
