O2_Eff,Test_Eff,TotCell,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
o2_Null,test_HE,1000,0.947581521712521,0.8571527460244298,1275.4532644081512,7860.2720368316695,337.1333270156263
o2_Null,test_HE,2000,0.9470307976924254,0.8809180355275424,1167.1088245931876,8070.522369849566,230.36877564092492
o2_Null,test_HE,4000,0.9466571068897224,0.9007340989812468,1061.7157875420662,8245.037230231746,157.9649584298879
o2_Null,test_LE,1000,0.9526012691467012,0.771331116996838,1133.0285849195807,7072.768805606213,1311.949782375229
o2_Null,test_LE,2000,0.9483155657851766,0.8581171509314273,1137.9855900717814,7861.774830505538,479.6593633657979
o2_Null,test_LE,4000,0.9471505951113026,0.8914866568106832,1054.7652117604828,8160.633685372904,253.69500597258187
o2_HE,test_HE,1000,0.9390619887681756,0.9048978993695114,1357.377895371125,8298.685027332393,340.7903821370598
o2_HE,test_HE,2000,0.9384042432050824,0.9303267252524594,1242.5821013535308,8523.712462640924,231.25711106951823
o2_HE,test_HE,4000,0.9379591580705,0.95149702815787,1130.6956800337255,8710.191212913156,157.1540518178127
o2_HE,test_LE,1000,0.9428927843434818,0.8457595804688969,1257.3399893682683,7755.939751583656,979.8741117482136
o2_HE,test_LE,2000,0.93939632579214,0.9145000743459996,1221.2099104922167,8378.755371251658,396.5883101068223
o2_HE,test_LE,4000,0.9383105675368096,0.9456010387763892,1125.6101011728913,8656.342761503598,215.727740754646
o2_LE,test_HE,1000,0.9522843522112556,0.8273551075796881,1229.8096505038718,7586.96772024997,384.8274818256797
o2_LE,test_HE,2000,0.9517472280122484,0.8509399512774197,1126.568884536748,7795.848605012169,270.90300533065965
o2_LE,test_HE,4000,0.951378327430443,0.8706069270584522,1025.6974556999594,7969.247942905999,192.6998275165313
o2_LE,test_LE,1000,0.9969494388002867,5.63e-322,0.0,0.0,9908.699896817398
o2_LE,test_LE,2000,0.9549689349149124,0.790211712054799,1048.4332680386206,7239.818474873426,955.0442385892882
o2_LE,test_LE,4000,0.9527109235382668,0.8441607873717927,1004.9161518383893,7727.815985080737,475.5366511316871
